L	rho	mean_Delta_E	std_Delta_E
14	0.13	3.8631	459.16743441981293
14	0.14	4.4274	453.73150315680715
14	0.15	1.1662	444.78122263778306
14	0.16	-4.5433	433.84337880489005
14	0.17	-2.8637	412.7543898506036
14	0.18	-1.498	389.67243327765135
14	0.19	0.8471	376.32444264251956
14	0.2	2.2866	357.509137419974
14	0.2	0.09734	354.81501002894146
14	0.21	4.8958	341.3591957929583
14	0.21	0.51828	334.8645705485244
14	0.22	-3.0846	316.7580130110692
14	0.22	-1.34606	312.7735118183337
14	0.23	-1.3271	290.8649661757924
14	0.23	-1.49457	292.8186599214454
14	0.24	2.3545	274.68588763064685
14	0.24	-1.5604	273.2115141738261
16	0.01	-0.2516	75.13007087841072
16	0.02	-2.1221	163.5701369766531
16	0.03	1.475	253.4068729914955
16	0.04	-2.7818	341.2896553539898
16	0.05	-0.2455	420.3390563842268
16	0.06	0.6034	485.5029954843764
16	0.07	1.476	539.3452342907789
16	0.08	1.1923	581.7724151547695
16	0.09	-1.7755	610.5551687285565
16	0.1	-0.2498	633.1151774225194
16	0.11	1.8146	649.7062702872777
16	0.12	12.9609	646.1565927895733
16	0.13	-4.0	634.8511710636911
16	0.14	-12.4574	634.946233201793
16	0.15	3.3604	619.6513798056851
16	0.16	3.3277	603.046113140751
16	0.17	0.8223	578.3564715152104
16	0.18	3.4762	546.2790225796805
16	0.19	1.0755	525.1753454933898
16	0.2	-1.9208	498.63301215968596
16	0.2	-0.00811	497.5400499911956
16	0.21	-2.1192	471.80482063056223
16	0.21	-1.81658	468.6592488279931
16	0.22	1.4726	442.5412960720309
16	0.22	-0.04315	438.65982099169173
16	0.23	5.7576	402.50171404010257
16	0.23	2.1409	411.5300343800948
16	0.24	-3.217	384.4813780978351
16	0.24	2.53875	383.10515545217976
18	0.01	0.0715	98.01035960963046
18	0.02	2.7436	216.62947604614936
18	0.03	-2.1224	337.23513365569903
18	0.04	-4.1039	453.4319626573164
18	0.05	1.665	565.0192156435077
18	0.06	2.7828	650.9242470992352
18	0.07	-2.4258	716.0784093402009
18	0.08	4.1741	771.4699344596442
18	0.09	-3.135	819.5699997397704
18	0.1	-2.0924	855.3528269130177
18	0.11	2.6536	873.6922225915839
18	0.12	-18.1223	870.2799977421962
18	0.13	-2.0677	859.9584096706924
18	0.14	11.6728	855.0285876675312
18	0.15	-2.5648	841.1913025475882
18	0.16	0.3873	807.0234353358198
18	0.17	1.7451	782.032653303603
18	0.18	-4.0647	738.2465430394788
18	0.19	-4.9367	708.7164643182699
18	0.2	3.7433	674.1814928293696
18	0.2	-0.00542	669.447858354162
18	0.21	1.913	639.7872840310918
18	0.21	-0.66244	631.3749037584067
18	0.22	-3.679	595.364856949324
18	0.22	-0.63703	593.415304571778
18	0.23	-5.0204	542.360545467651
18	0.23	-0.56366	555.0102322038603
18	0.24	7.5666	517.9803503307562
18	0.24	-1.75027	515.3883060722153
20	0.01	1.4195	124.0558862208505
20	0.02	-0.3066	279.65473225634383
20	0.03	0.7737	431.49643568135133
20	0.04	-0.7071	591.4186492760108
20	0.05	-3.3148	726.4744134574189
20	0.06	-3.3362	832.7786962964774
20	0.07	2.9376	934.0193453671031
20	0.08	-9.1219	1011.9952837270629
20	0.09	9.6645	1056.093433780287
20	0.1	11.5875	1104.9149423583403
20	0.11	-21.4912	1145.5900247353052
20	0.12	26.096	1130.2409773365523
20	0.13	-2.39	1117.3137460448208
20	0.14	-10.1748	1122.7720773864728
20	0.15	3.1003	1088.4385588950618
20	0.16	14.9787	1053.6315700446953
20	0.17	0.313	1014.8242250024215
20	0.18	5.9468	963.977445390338
20	0.19	6.1034	923.9065113054477
20	0.2	1.3369	869.6530670584071
20	0.2	-4.01814	873.1268459484174
20	0.21	-7.4668	828.0053967163856
20	0.21	1.01367	825.6048434915501
20	0.22	-0.8722	777.6235851047543
20	0.22	-0.04494	772.8284281120807
20	0.23	0.8054	709.674083690074
20	0.23	-0.76124	724.2387014035003
20	0.24	-7.8476	678.5700854814711
20	0.24	3.28649	672.2482088856938
