L	rho	mean_Delta_E	std_Delta_E
100	0.08	-0.37385	254.2545342365782
100	0.09	0.82289	286.5991391695265
100	0.1	0.97552	314.65001704602184
100	0.11	-1.97833	341.06582185754047
100	0.12	0.91375	365.1300454501634
100	0.13	-0.68262	387.2539583609421
100	0.14	-0.30139	404.82095587324903
100	0.15	2.42677	419.56216228521765
100	0.16	-0.6185	431.8560056012255
100	0.17	1.64675	443.0200641418059
100	0.18	0.04374	449.33946838263705
100	0.19	1.67772	456.81991022711065
100	0.2	-1.31579	457.7978438954629
100	0.21	-0.36941	460.529331898531
100	0.22	-0.36312	457.05901171869215
100	0.23	0.87772	455.82313736242827
100	0.24	-0.05816	451.9931015569297
120	0.01	0.04988	23.62925676790013
120	0.02	0.47795	60.0046034844152
120	0.03	-0.28067	103.3384744553263
120	0.04	0.42971	149.14377894496263
120	0.05	-0.00938	195.99420611156822
120	0.06	-0.08194	243.6716525666846
120	0.07	-0.94343	290.2857329044994
120	0.08	0.92447	334.65985100901764
120	0.09	0.75678	375.1543111195753
120	0.1	1.78669	412.3604254048251
120	0.11	-1.653	447.2160430853213
120	0.12	-0.52693	479.3571764016898
120	0.13	-0.40893	509.61007018159626
120	0.14	-0.66352	531.3320197563495
120	0.15	4.1567	550.8504571363914
120	0.16	-2.51709	567.6919029094022
120	0.17	1.57926	584.1908185575817
120	0.18	-1.1351	590.7517103350802
120	0.19	1.47083	598.2152313371344
120	0.2	-0.48522	601.2479353081794
120	0.21	-0.64597	603.6559065869352
120	0.22	-0.33953	603.3396051778558
120	0.23	-0.12607	597.5925531036597
120	0.24	-1.87604	592.3473924212475
140	0.01	0.05712	29.311438192447824
140	0.02	0.32561	74.82191785380681
140	0.03	-0.67582	128.93997193458367
140	0.04	0.69307	186.74448339642026
140	0.05	-0.11619	246.7487913233702
140	0.06	-0.13969	305.8192812610608
140	0.07	-0.24569	365.26770061333787
140	0.08	0.30066	419.60269351824763
140	0.09	0.15124	470.77486846286746
140	0.1	1.23183	518.6757647802149
140	0.11	-2.93213	564.6135163524617
140	0.12	0.23326	603.8032707874896
140	0.13	-2.65785	638.792087127481
140	0.14	-0.01153	669.142773612309
140	0.15	4.32754	692.0580915223583
140	0.16	-4.79921	712.8797846686704
140	0.17	0.90047	736.1347746356256
140	0.18	0.28949	747.595492372541
140	0.19	2.74836	751.3883567915714
140	0.2	-1.41205	758.0550920480802
140	0.21	-1.48633	761.4666401540987
140	0.22	-0.1226	759.1286640567105
140	0.23	2.41537	754.5851538595941
140	0.24	-0.81332	749.3102022582968
160	0.01	-0.0199	35.289757121005756
160	0.02	0.40883	90.75516598537315
160	0.03	-0.79342	156.83738025210073
160	0.04	0.65875	227.38288895213591
160	0.05	-0.89047	301.2117599603682
160	0.06	-1.06835	373.3423927224171
160	0.07	-0.11835	446.0207268145338
160	0.08	0.5325	512.842229574822
160	0.09	-0.01042	574.5902058950106
160	0.1	-0.86858	634.7966712081289
160	0.11	-2.39047	689.1281522614509
160	0.12	-1.25952	736.8152052420174
160	0.13	-1.9361	781.8593849137886
160	0.14	1.63647	818.046974167412
160	0.15	5.55647	847.0405181970541
160	0.16	-2.04864	872.6483174366463
160	0.17	0.57965	899.3977622382794
160	0.18	-1.67888	912.0267143616039
160	0.19	2.90207	919.8831171128247
160	0.2	-2.77833	929.511663268263
160	0.21	-0.15301	931.2279415012902
160	0.22	-1.94949	929.7000326880965
160	0.23	4.28437	921.4556914738855
160	0.24	2.44282	914.5014405889671
20	0.01	0.007240	2.337723
20	0.02	-0.009060	5.162286
20	0.03	-0.003700	8.247710
20	0.04	0.007020	11.448963
20	0.05	0.052180	14.636745
20	0.06	0.101920	17.848666
20	0.07	-0.067230	20.857569
20	0.08	0.066680	23.881872
20	0.09	0.235180	26.431375
20	0.1	0.129690	28.942742
20	0.11	-0.011500	31.239978
20	0.12	-0.064890	33.240070
20	0.13	-0.064310	35.038013
20	0.14	-0.105850	36.475013
20	0.15	-0.019280	37.827080
20	0.16	-0.038840	38.809655
20	0.17	0.005210	39.617028
20	0.18	0.043780	40.177374
20	0.19	0.203670	40.699596
20	0.2	-0.189890	40.833873
20	0.21	0.049250	41.029366
20	0.22	0.058420	40.828424
20	0.23	-0.193090	40.543512
20	0.24	-0.029520	40.145771
