L,rho,mean_density,std_density,second_moment,fourth_moment,Binder_cumulant
400,0.0735920,8.5292792958e-01,1.5890861712e-04,7.2748607831e-01,5.2923606761e-01,6.6666662038e-01
400,0.0831920,8.1955930423e-01,1.6824138652e-04,6.7167748146e-01,4.5115071515e-01,6.6666661048e-01
400,0.0925620,7.8545544308e-01,1.7529808533e-04,6.1694028379e-01,3.8061538960e-01,6.6666660025e-01
400,0.1017040,7.5114279150e-01,1.9112022347e-04,5.6421552975e-01,3.1833924645e-01,6.6666658035e-01
400,0.1106170,7.1701710914e-01,2.0029730917e-04,5.1411357492e-01,2.6431285042e-01,6.6666656262e-01
400,0.1193020,6.8337827106e-01,2.0065344150e-04,4.6700590162e-01,2.1809458736e-01,6.6666655172e-01
400,0.1277580,6.5048503523e-01,2.0855627803e-04,4.2313082456e-01,1.7903976831e-01,6.6666652961e-01
400,0.1359860,6.1853956034e-01,2.1056213193e-04,3.8259123205e-01,1.4637611869e-01,6.6666651215e-01
400,0.1439850,5.8765182795e-01,1.9799008910e-04,3.4533471010e-01,1.1925611614e-01,6.6666651532e-01
400,0.1517560,5.5792820800e-01,2.1791550575e-04,3.1128393277e-01,9.6897745926e-02,6.6666646327e-01
400,0.1592980,5.2944455162e-01,2.2048138032e-04,2.8031158186e-01,7.8574637429e-02,6.6666643544e-01
400,0.1666120,5.0221918695e-01,2.0128560532e-04,2.5222415226e-01,6.3617063859e-02,6.6666645249e-01
400,0.1736970,4.7624230361e-01,2.1820145183e-04,2.2680677936e-01,5.1441358358e-02,6.6666638677e-01
400,0.1805530,4.5157712323e-01,2.0394711051e-04,2.0392193982e-01,4.1584191469e-02,6.6666639470e-01
400,0.1871810,4.2813676784e-01,2.0991995210e-04,1.8330113605e-01,3.3599338786e-02,6.6666634613e-01
400,0.1935800,4.0590912739e-01,2.0298306341e-04,1.6476226090e-01,2.7146629773e-02,6.6666633323e-01
400,0.1997510,3.8483584048e-01,2.0267781041e-04,1.4809866520e-01,2.1933238969e-02,6.6666629682e-01
400,0.2056930,3.6490720891e-01,2.0922979596e-04,1.3315731489e-01,1.7730893827e-02,6.6666622828e-01
400,0.2114070,3.4601520198e-01,2.0575516147e-04,1.1972656234e-01,1.4334470004e-02,6.6666619520e-01
