sample_id, N_active, N_A_1, N_B_1, N_A_0, N_B_0, N_A_*, N_B_*
169, 2475343, 504621, 493498, 449333, 459113, 284389, 284389
170, 2479095, 501204, 502470, 457463, 456298, 280830, 280830
171, 2481768, 514722, 490925, 446409, 469928, 279892, 279892
172, 2479437, 504016, 493985, 449844, 458906, 286343, 286343
173, 2477589, 498941, 499876, 454908, 454390, 284737, 284737
174, 2475710, 491282, 504959, 459925, 446726, 286409, 286409
175, 2477590, 502748, 491624, 447146, 457936, 289068, 289068
176, 2480537, 508525, 493597, 448997, 463572, 282923, 282923
177, 2477330, 499436, 505925, 461201, 454842, 277963, 277963
178, 2478976, 507930, 495247, 451031, 463392, 280688, 280688
179, 2478539, 486274, 515956, 470426, 442291, 281796, 281796
180, 2479119, 503957, 494160, 449783, 459425, 285897, 285897
181, 2475060, 493002, 505834, 460486, 448304, 283717, 283717
182, 2479228, 503758, 494850, 450287, 459201, 285566, 285566
183, 2477090, 485471, 513733, 468623, 441591, 283836, 283836
184, 2476172, 507815, 491306, 447193, 462736, 283561, 283561
185, 2480367, 491705, 510328, 465243, 447595, 282748, 282748
186, 2477621, 499666, 499357, 454823, 454607, 284584, 284584
187, 2477416, 498570, 501737, 456557, 453962, 283295, 283295
188, 2480966, 500267, 504037, 459364, 456040, 280629, 280629
189, 2481387, 494052, 505957, 461492, 450060, 284913, 284913
190, 2478277, 501803, 502100, 457748, 456582, 280022, 280022
191, 2475616, 494744, 506660, 461842, 450032, 281169, 281169
192, 2474013, 493872, 503230, 458637, 448926, 284674, 284674
193, 2472829, 490525, 505996, 460479, 445839, 284995, 284995
194, 2472694, 485359, 507713, 462362, 440876, 288192, 288192
195, 2476465, 500376, 497729, 453576, 455800, 284492, 284492
196, 2479244, 507010, 486759, 442579, 462034, 290431, 290431
197, 2475415, 496770, 497156, 452420, 451855, 288607, 288607
198, 2483249, 505573, 496440, 451896, 460980, 284180, 284180
199, 2478264, 494691, 501792, 457224, 449925, 287316, 287316
200, 2477579, 499364, 503938, 459125, 454582, 280285, 280285
201, 2479744, 491138, 506931, 462202, 447205, 286134, 286134
202, 2480216, 491313, 507856, 463006, 446727, 285657, 285657
203, 2476668, 496285, 497664, 452809, 451386, 289262, 289262
204, 2478082, 499317, 497082, 452759, 454444, 287240, 287240
205, 2479050, 497777, 499468, 455045, 453448, 286656, 286656
206, 2478950, 496707, 501469, 456670, 451978, 286063, 286063
207, 2477318, 494989, 498092, 452732, 450945, 290280, 290280
208, 2481632, 501468, 494593, 450505, 456606, 289230, 289230
209, 2476520, 500540, 494332, 450184, 455342, 288061, 288061
210, 2477315, 507455, 490619, 446376, 462279, 285293, 285293
211, 2480833, 507476, 490554, 446575, 462776, 286726, 286726
212, 2475847, 501729, 501009, 455590, 457013, 280253, 280253
213, 2478343, 499389, 497923, 453012, 454927, 286546, 286546
214, 2477582, 504356, 495523, 451264, 458989, 283725, 283725
215, 2478267, 499654, 500790, 456327, 454686, 283405, 283405
216, 2480511, 508597, 491327, 447067, 463328, 285096, 285096
217, 2477928, 495832, 503538, 459217, 451445, 283948, 283948
218, 2477252, 490611, 506258, 460874, 446391, 286559, 286559
219, 2474418, 501715, 498828, 453962, 456737, 281588, 281588
220, 2478623, 488069, 511575, 466838, 443833, 284154, 284154
221, 2476148, 500470, 498773, 454042, 455925, 283469, 283469
222, 2475719, 493464, 505567, 460414, 448776, 283749, 283749
223, 2479884, 498935, 498394, 453860, 454389, 287153, 287153
224, 2477777, 509024, 492670, 448289, 463896, 281949, 281949
225, 2482913, 503593, 497684, 453160, 459148, 284664, 284664
226, 2482827, 493030, 504402, 459617, 448644, 288567, 288567
227, 2481483, 499391, 500131, 456117, 454978, 285433, 285433
228, 2477461, 497286, 506172, 461041, 452770, 280096, 280096
229, 2476521, 500935, 495854, 451018, 456464, 286125, 286125
230, 2475145, 502708, 491121, 446759, 458061, 288248, 288248
231, 2482806, 500507, 502133, 457886, 456100, 283090, 283090
232, 2474366, 495816, 500589, 455679, 450952, 285665, 285665
233, 2479296, 495121, 501134, 456682, 450381, 287989, 287989
234, 2475814, 503010, 493525, 448401, 458470, 286204, 286204
235, 2473707, 499109, 500655, 456240, 454009, 281847, 281847
236, 2476669, 490007, 505839, 461278, 445337, 287104, 287104
237, 2479171, 507335, 496367, 451900, 462257, 280656, 280656
238, 2475879, 500392, 498003, 453817, 455403, 284132, 284132
239, 2477980, 499537, 495923, 451419, 455263, 287919, 287919
