cluster_size,total_clusters_of_this_size,n_s
475,909,9.0900000000e-11
476,867,8.6700000000e-11
477,845,8.4500000000e-11
478,901,9.0100000000e-11
479,882,8.8200000000e-11
480,811,8.1100000000e-11
481,791,7.9100000000e-11
482,767,7.6700000000e-11
483,814,8.1400000000e-11
484,763,7.6300000000e-11
485,784,7.8400000000e-11
486,791,7.9100000000e-11
487,734,7.3400000000e-11
488,785,7.8500000000e-11
489,767,7.6700000000e-11
490,748,7.4800000000e-11
491,763,7.6300000000e-11
492,750,7.5000000000e-11
493,703,7.0300000000e-11
494,731,7.3100000000e-11
495,719,7.1900000000e-11
496,706,7.0600000000e-11
497,710,7.1000000000e-11
498,733,7.3300000000e-11
499,684,6.8400000000e-11
500,668,6.6800000000e-11
501,694,6.9400000000e-11
502,657,6.5700000000e-11
503,635,6.3500000000e-11
504,637,6.3700000000e-11
505,627,6.2700000000e-11
506,631,6.3100000000e-11
507,642,6.4200000000e-11
508,633,6.3300000000e-11
509,663,6.6300000000e-11
510,600,6.0000000000e-11
511,617,6.1700000000e-11
512,564,5.6400000000e-11
513,591,5.9100000000e-11
514,617,6.1700000000e-11
515,584,5.8400000000e-11
516,629,6.2900000000e-11
517,573,5.7300000000e-11
518,558,5.5800000000e-11
519,564,5.6400000000e-11
520,525,5.2500000000e-11
521,570,5.7000000000e-11
522,509,5.0900000000e-11
523,513,5.1300000000e-11
524,580,5.8000000000e-11
525,542,5.4200000000e-11
526,486,4.8600000000e-11
527,524,5.2400000000e-11
528,486,4.8600000000e-11
529,523,5.2300000000e-11
530,490,4.9000000000e-11
531,498,4.9800000000e-11
532,506,5.0600000000e-11
533,470,4.7000000000e-11
534,471,4.7100000000e-11
535,438,4.3800000000e-11
536,456,4.5600000000e-11
537,411,4.1100000000e-11
538,453,4.5300000000e-11
539,415,4.1500000000e-11
540,435,4.3500000000e-11
541,442,4.4200000000e-11
542,432,4.3200000000e-11
543,450,4.5000000000e-11
544,448,4.4800000000e-11
545,428,4.2800000000e-11
546,428,4.2800000000e-11
547,440,4.4000000000e-11
548,433,4.3300000000e-11
549,398,3.9800000000e-11
550,417,4.1700000000e-11
551,378,3.7800000000e-11
552,378,3.7800000000e-11
553,425,4.2500000000e-11
554,384,3.8400000000e-11
555,396,3.9600000000e-11
556,391,3.9100000000e-11
557,380,3.8000000000e-11
558,355,3.5500000000e-11
559,377,3.7700000000e-11
560,371,3.7100000000e-11
561,410,4.1000000000e-11
562,364,3.6400000000e-11
563,344,3.4400000000e-11
564,362,3.6200000000e-11
565,371,3.7100000000e-11
566,351,3.5100000000e-11
567,341,3.4100000000e-11
568,342,3.4200000000e-11
569,351,3.5100000000e-11
570,332,3.3200000000e-11
571,325,3.2500000000e-11
572,322,3.2200000000e-11
573,323,3.2300000000e-11
574,315,3.1500000000e-11
575,321,3.2100000000e-11
576,320,3.2000000000e-11
577,306,3.0600000000e-11
578,325,3.2500000000e-11
579,300,3.0000000000e-11
580,285,2.8500000000e-11
581,271,2.7100000000e-11
582,281,2.8100000000e-11
583,303,3.0300000000e-11
