sample_id, N_active, N_A_1, N_B_1, N_A_0, N_B_0, N_A_*, N_B_*, seed
271, 2298776, 1139273, 1337, 744, 1138338, 9542, 9542, 2379681228
268, 2298078, 1139198, 1386, 789, 1138609, 9048, 9048, 4285251376
277, 2295508, 1573, 1137159, 1136388, 988, 9700, 9700, 1966973213
272, 2295235, 1138053, 1099, 494, 1137463, 9063, 9063, 3514172153
275, 2295680, 1138088, 1277, 648, 1137355, 9156, 9156, 2447151856
278, 2295475, 1134584, 1563, 944, 1133572, 12406, 12406, 2672690810
276, 2299171, 1139506, 1102, 555, 1138910, 9549, 9549, 694547081
282, 2296854, 1652, 1138407, 1137618, 1025, 9076, 9076, 3563855392
280, 2298051, 1221, 1139419, 1138839, 672, 8950, 8950, 3130480539
279, 2296079, 1310, 1137782, 1137135, 696, 9578, 9578, 275620399
283, 2296013, 1590, 1137557, 1136965, 937, 9482, 9482, 139872147
287, 2294758, 1398, 1137638, 1136665, 787, 9135, 9135, 3093077517
285, 2295807, 1137110, 1699, 1108, 1136194, 9848, 9848, 2827226921
281, 2296897, 1138344, 1468, 877, 1137754, 9227, 9227, 3178111964
286, 2300352, 1140875, 1249, 686, 1140238, 8652, 8652, 1162820436
288, 2296066, 1602, 1137517, 1136875, 1006, 9533, 9533, 464481899
289, 2296137, 1631, 1138354, 1137707, 1007, 8719, 8719, 616320946
284, 2297921, 1139128, 1458, 901, 1138496, 8969, 8969, 2093349311
294, 2297060, 1457, 1138777, 1138134, 884, 8904, 8904, 1488898603
290, 2298739, 1139956, 1095, 523, 1139239, 8963, 8963, 1968956638
291, 2298217, 1137754, 1400, 787, 1136990, 10643, 10643, 2865863350
296, 2295009, 1320, 1137309, 1136636, 704, 9520, 9520, 970338614
295, 2300442, 1141336, 1178, 632, 1140724, 8286, 8286, 92633038
293, 2298554, 1139590, 1411, 812, 1138797, 8972, 8972, 4055537790
297, 2296984, 1138468, 1411, 780, 1137625, 9350, 9350, 3432681543
292, 2298376, 1276, 1139337, 1138751, 676, 9168, 9168, 3581193235
299, 2298106, 1138595, 1460, 844, 1137907, 9650, 9650, 572076293
300, 2296356, 1137988, 1340, 728, 1137230, 9535, 9535, 1265959847
298, 2297408, 1139094, 1243, 663, 1138456, 8976, 8976, 4185392354
301, 2297519, 1138784, 1513, 898, 1138002, 9161, 9161, 2641831624
302, 2297033, 1139000, 1322, 771, 1138182, 8879, 8879, 494037326
306, 2297999, 1139327, 1166, 626, 1138546, 9167, 9167, 2665181111
305, 2295710, 1263, 1138044, 1137469, 642, 9146, 9146, 3757344644
308, 2296942, 1138081, 1548, 899, 1137254, 9580, 9580, 1008248820
303, 2294081, 1137096, 1273, 660, 1136444, 9304, 9304, 882972116
307, 2294846, 1137508, 1313, 717, 1136706, 9301, 9301, 3498281923
304, 2298104, 1139632, 1133, 551, 1139044, 8872, 8872, 2289571212
309, 2296338, 1138794, 1296, 678, 1138022, 8774, 8774, 2440125127
311, 2297194, 1592, 1138570, 1137929, 983, 9060, 9060, 4247670611
313, 2297759, 1139386, 1278, 687, 1138420, 8994, 8994, 3001180783
310, 2298062, 1138889, 1446, 845, 1138028, 9427, 9427, 3948828363
314, 2297520, 1294, 1138589, 1137962, 729, 9473, 9473, 1911526402
315, 2296712, 1467, 1137994, 1137161, 858, 9616, 9616, 1024770610
312, 2296199, 1138269, 1560, 924, 1137560, 8943, 8943, 499016916
318, 2298369, 1139654, 1273, 706, 1138874, 8931, 8931, 132636916
316, 2296131, 1137529, 1341, 800, 1136891, 9785, 9785, 2006081910
324, 2297959, 1371, 1139083, 1138224, 799, 9241, 9241, 1375421767
322, 2297750, 1139183, 1342, 742, 1138349, 9067, 9067, 849799520
317, 2296381, 1287, 1138468, 1137756, 692, 9089, 9089, 744938656
319, 2298819, 1139623, 1398, 801, 1138935, 9031, 9031, 1571054070
321, 2296838, 1138486, 1267, 673, 1137660, 9376, 9376, 2951688834
325, 2297416, 1201, 1138934, 1138236, 587, 9229, 9229, 1470533343
323, 2296757, 1138473, 1374, 733, 1137805, 9186, 9186, 1225415547
320, 2301190, 1141787, 1383, 800, 1141264, 7978, 7978, 847453507
327, 2298969, 1427, 1139995, 1139154, 851, 8771, 8771, 1215946999
331, 2296565, 1068, 1139511, 1138379, 473, 8567, 8567, 3197856187
328, 2296929, 1356, 1138776, 1138004, 765, 9014, 9014, 2636385306
326, 2293304, 1205, 1136981, 1136349, 611, 9079, 9079, 400441733
332, 2294827, 1227, 1137484, 1136575, 605, 9468, 9468, 2839924103
329, 2297130, 1306, 1138561, 1137628, 733, 9451, 9451, 1424348514
330, 2295456, 1392, 1137171, 1136459, 740, 9847, 9847, 3033794039
334, 2295161, 1501, 1137530, 1136887, 879, 9182, 9182, 1102161517
333, 2295631, 1138460, 1169, 574, 1137734, 8847, 8847, 852620914
337, 2296044, 1328, 1137484, 1136810, 706, 9858, 9858, 2483535013
335, 2299174, 1139525, 1446, 876, 1138789, 9269, 9269, 2486287944
336, 2298482, 1053, 1138374, 1137668, 493, 10447, 10447, 432825654
343, 2297811, 1213, 1140070, 1138789, 647, 8546, 8546, 552478668
339, 2299165, 1139630, 1326, 742, 1138871, 9298, 9298, 1406867806
340, 2297388, 1259, 1139096, 1138463, 654, 8958, 8958, 2453194901
341, 2297252, 1285, 1139033, 1138198, 690, 9023, 9023, 4241737507
338, 2293920, 1135796, 1692, 1083, 1135153, 10098, 10098, 2668638351
342, 2299655, 1140069, 1307, 734, 1139317, 9114, 9114, 1641827465
344, 2296654, 1139358, 1097, 523, 1138422, 8627, 8627, 1970765379
347, 2297560, 1302, 1138525, 1137684, 725, 9662, 9662, 2139206630
346, 2299246, 1427, 1140348, 1139697, 822, 8476, 8476, 81601075
349, 2298559, 1139484, 1375, 810, 1138728, 9081, 9081, 2563410017
345, 2297402, 1138550, 1567, 960, 1137697, 9314, 9314, 1101915407
351, 2296911, 1296, 1138628, 1137716, 699, 9286, 9286, 2010927877
348, 2298285, 1139926, 1220, 617, 1139100, 8711, 8711, 3922477605
350, 2297970, 1287, 1139164, 1138510, 707, 9151, 9151, 3585309406
352, 2297826, 1139069, 1310, 711, 1138302, 9217, 9217, 2756510740
358, 2297232, 1452, 1138310, 1137564, 896, 9505, 9505, 2891903464
355, 2295282, 1137302, 1576, 979, 1136455, 9485, 9485, 2610651233
354, 2297497, 1464, 1138638, 1137969, 874, 9276, 9276, 2884254046
353, 2300149, 1311, 1140246, 1139676, 782, 9067, 9067, 520937722
356, 2295543, 1138168, 1502, 896, 1137365, 8806, 8806, 933998807
361, 2296412, 1434, 1138357, 1137551, 812, 9129, 9129, 2224257356
359, 2294922, 1377, 1137596, 1136888, 747, 9157, 9157, 3111689790
363, 2295213, 1124602, 11995, 11393, 1123891, 11666, 11666, 157999380
360, 2299999, 1140321, 1236, 663, 1139569, 9105, 9105, 2613133169
357, 2299028, 1139977, 1401, 803, 1139293, 8777, 8777, 704202433
365, 2297190, 1547, 1138532, 1137809, 966, 9168, 9168, 1163880999
362, 2297747, 1139571, 1396, 788, 1138844, 8574, 8574, 1689580047
