L,rho,n_samples,mean,std,second_moment,fourth_moment,binder_cumulant
160,0.28404500,1000,3.4793945313e-04,7.4356738005e-05,1.2658525860e-07,1.9472351582e-14,0.5949292526164198
160,0.28545900,1000,3.1678222656e-04,7.2678805371e-05,1.0562790561e-07,1.4050658258e-14,0.5802235418572552
160,0.28691300,1000,2.8149267578e-04,5.6787625630e-05,8.2459736109e-08,8.0394242607e-15,0.6058878606368212
160,0.28840800,1000,2.5645190430e-04,5.2425997782e-05,6.8513315975e-08,5.6004269965e-15,0.602305201507428
160,0.28994400,1000,2.3474291992e-04,4.8640627157e-05,5.7467783153e-08,3.9983430389e-15,0.5964383320009048
160,0.29151900,1000,2.1295947266e-04,4.2401863095e-05,4.7147857070e-08,2.6242989390e-15,0.6064788002905044
160,0.29313600,1000,1.9670361328e-04,3.9341145846e-05,4.0238489509e-08,1.9246801095e-15,0.6037639694975561
160,0.29479200,1000,1.7850854492e-04,3.7117020697e-05,3.3241596162e-08,1.3429590183e-15,0.5948855195057776
160,0.29648900,1000,1.6540283203e-04,3.4438074816e-05,2.8542891860e-08,9.9303714137e-16,0.5936986238975996
160,0.29822600,1000,1.5019238281e-04,2.8562244860e-05,2.3372737885e-08,6.4242828231e-16,0.6080016670954653
160,0.30000400,1000,1.3929077148e-04,2.7029381835e-05,2.0131775916e-08,4.7617391452e-16,0.6083661965692624
160,0.30182200,1000,1.2774389648e-04,2.4136550007e-05,1.6900493562e-08,3.3443935418e-16,0.6097010836203234
160,0.30368100,1000,1.1822851563e-04,2.1185941435e-05,1.4426377177e-08,2.3851122768e-16,0.6179915163121337
160,0.30558000,1000,1.0940551758e-04,1.9821490020e-05,1.2362065852e-08,1.7531824639e-16,0.6175948276312158
160,0.30751900,1000,1.0061059570e-04,1.7566038720e-05,1.0430749118e-08,1.2428064665e-16,0.6192400598207917
160,0.30949900,1000,9.4942626953e-05,1.8649369845e-05,9.3615536093e-09,1.0435593461e-16,0.6030826894863057
160,0.31151900,1000,8.7173583984e-05,1.5570408745e-05,7.8414289355e-09,7.0713928472e-17,0.6166519236381538
160,0.31357900,1000,8.1376464844e-05,1.4660665650e-05,6.8368492126e-09,5.4187399119e-17,0.6135751487885737
160,0.31568000,1000,7.5384277344e-05,1.2804130699e-05,5.8465710878e-09,3.8840029454e-17,0.6212472221861696
160,0.31782200,1000,7.0525634766e-05,1.2575100138e-05,5.1318401694e-09,3.0485863991e-17,0.6141388899980955
160,0.32000400,1000,6.6187988281e-05,1.1619097744e-05,4.5157182217e-09,2.3320232326e-17,0.618795560924434
160,0.32222600,1000,6.1590087891e-05,1.0366215895e-05,3.9006898999e-09,1.7235056749e-17,0.6224203223291253
160,0.32448800,1000,5.8037353516e-05,9.8156968535e-06,3.4645859599e-09,1.3550852193e-17,0.6236926757423779
160,0.32679100,1000,5.4602783203e-05,9.7113692474e-06,3.0756803155e-09,1.0928719024e-17,0.6149070043632823
160,0.32913500,1000,5.0704833984e-05,8.7879797772e-06,2.6481315494e-09,8.0101493884e-18,0.6192497035948792
160,0.33151800,1000,4.7582275391e-05,8.0988729379e-06,2.3295990825e-09,6.1698894770e-18,0.6210396641815953
160,0.33394300,1000,4.4615722656e-05,7.4479063711e-06,2.0459785461e-09,4.7275672516e-18,0.623543924929864
160,0.33640700,1000,4.1849365234e-05,6.6479732170e-06,1.7955207229e-09,3.5739292769e-18,0.6304749744385995
160,0.33891200,1000,3.9492919922e-05,6.4910914864e-06,1.6017828584e-09,2.8867884790e-18,0.6249523701393651
160,0.34145800,1000,3.7189941406e-05,6.1637191507e-06,1.4210451841e-09,2.2725041191e-18,0.6248822195320292
160,0.34404300,1000,3.5569824219e-05,6.0426998016e-06,1.3016901016e-09,1.9243741231e-18,0.621424025570581
160,0.34667000,1000,3.3089355469e-05,5.3257625673e-06,1.1232408285e-09,1.4052973294e-18,0.6287203005407911
160,0.34933600,1000,3.1390869141e-05,5.2900466712e-06,1.0133432746e-09,1.1701463081e-18,0.6201555956529933
160,0.35204300,1000,2.9812255859e-05,4.6405987657e-06,9.1028422117e-10,9.2077885598e-19,0.6295922594488261
160,0.35479100,1000,2.8073730469e-05,4.8484649616e-06,8.1161844730e-10,7.5455676846e-19,0.6181728153541326
160,0.35757800,1000,2.6761962891e-05,4.0992674827e-06,7.3298984766e-10,5.9343149914e-19,0.6318257412008741
160,0.36040700,1000,2.5357177734e-05,4.0211933768e-06,6.5914028883e-10,4.8731205242e-19,0.6261217665264274
160,0.36327500,1000,2.3794921875e-05,3.8018206439e-06,5.8063769341e-10,3.7827007158e-19,0.6260011423601333
160,0.36618400,1000,2.2510009766e-05,3.4903485535e-06,5.1887089014e-10,2.9845334341e-19,0.6304811643410354
160,0.36913400,1000,2.1549560547e-05,3.5066788931e-06,4.7666805983e-10,2.5536924158e-19,0.6253590657036536
160,0.37212300,1000,2.0447021484e-05,3.3329386431e-06,4.2917805910e-10,2.0777751932e-19,0.6239875028547922
160,0.37515400,1000,1.9504638672e-05,3.1030519850e-06,3.9005023241e-10,1.7019541965e-19,0.6271058833743576
160,0.37822400,1000,1.8595214844e-05,3.0048934042e-06,3.5480237007e-10,1.4114672352e-19,0.626254026980724
160,0.38133500,1000,1.7734130859e-05,2.8795949125e-06,3.2278317213e-10,1.1717684306e-19,0.6251143920708069
160,0.38448700,1000,1.6646240234e-05,2.4963789592e-06,2.8332298994e-10,8.8438393856e-20,0.6327549427402638
160,0.38767900,1000,1.5901855469e-05,2.5396992781e-06,2.5931262970e-10,7.5021159816e-20,0.6281094177022264
160,0.39091100,1000,1.5188964844e-05,2.4574852059e-06,2.3673784733e-10,6.2801549028e-20,0.6264801274298786
160,0.39418300,1000,1.4496337891e-05,2.3471464127e-06,2.1564739943e-10,5.2289090259e-20,0.6251984477890979
160,0.39749700,1000,1.3671142578e-05,2.1042213535e-06,1.9132345915e-10,4.0487296655e-20,0.6313102394090284
160,0.40085000,1000,1.3138427734e-05,2.0947834055e-06,1.7700201273e-10,3.5289748073e-20,0.6245337599630127
160,0.40424400,1000,1.2635742188e-05,2.0606061983e-06,1.6390383244e-10,3.0245826117e-20,0.6247108752726531
160,0.40767800,1000,1.1992187500e-05,1.9145528531e-06,1.4747440815e-10,2.4310346980e-20,0.6274053806118589
160,0.41115300,1000,1.1450439453e-05,1.9143596136e-06,1.3477367163e-10,2.0478348500e-20,0.6241941339251211
160,0.41466800,1000,1.0927490234e-05,1.7161945651e-06,1.2235242128e-10,1.6648618317e-20,0.6292921302756697
160,0.41822300,1000,1.0449951172e-05,1.7196549687e-06,1.1215573549e-10,1.4139331970e-20,0.6253164201085262
160,0.42181900,1000,9.9870605469e-06,1.5708651875e-06,1.0220652819e-10,1.1618779585e-20,0.6292492946758258
160,0.42545500,1000,9.5908203125e-06,1.5634601381e-06,9.4425797462e-11,1.0013046001e-20,0.6256622427511251
160,0.42913200,1000,9.1057128906e-06,1.5061884193e-06,8.5180342197e-11,8.2129542740e-21,0.6226890672381991
160,0.43284900,1000,8.6909179687e-06,1.4025108089e-06,7.7497124672e-11,6.7327058204e-21,0.62632227937285
160,0.43660700,1000,8.3554687500e-06,1.3874432483e-06,7.1736931801e-11,5.8198443398e-21,0.6230319713546556
160,0.44040500,1000,7.9846191406e-06,1.2765383340e-06,6.5382063389e-11,4.7910065781e-21,0.6264160000542038
160,0.44424300,1000,7.6708984375e-06,1.3054149265e-06,6.0545086861e-11,4.1582534820e-21,0.621878047348106
160,0.44812200,1000,7.3732910156e-06,1.2129461127e-06,5.5835187435e-11,3.5000521414e-21,0.6257711174864519
160,0.45204100,1000,6.9973144531e-06,1.1324966674e-06,5.0243675709e-11,2.8340791580e-21,0.6257792077724837
160,0.45600000,1000,6.6542968750e-06,1.0592802655e-06,4.5400619507e-11,2.2997350868e-21,0.6280941596144216
160,0.46000000,1000,6.4350585938e-06,1.0661122376e-06,4.2545437813e-11,2.0312190472e-21,0.6259501271819707
180,0.06000000,1000,8.8363966770e-01,5.0305628290e-04,7.8081931514e-01,6.0967959252e-01,0.6666662349484201
180,0.06400000,1000,8.6985266375e-01,5.1790838042e-04,7.5664392460e-01,5.7251083961e-01,0.6666661944906537
180,0.06795900,1000,8.5580034431e-01,5.6699844404e-04,7.3239455048e-01,5.3640271845e-01,0.6666660819833568
180,0.07187800,1000,8.4147478395e-01,5.8301643929e-04,7.0808015159e-01,5.0137846293e-01,0.6666660271926952
180,0.07575700,1000,8.2693889575e-01,6.0597322666e-04,6.8382830414e-01,4.6762215295e-01,0.6666659514072086
180,0.07959500,1000,8.1227953155e-01,6.1048515338e-04,6.5979840969e-01,4.3533492413e-01,0.666665914223431
180,0.08339300,1000,7.9748236094e-01,6.3902383371e-04,6.3597852395e-01,4.0446972067e-01,0.6666658114383934
180,0.08715100,1000,7.8258908882e-01,6.2424296512e-04,6.1244607123e-01,3.7509114383e-01,0.6666658191694215
180,0.09086800,1000,7.6771470439e-01,6.8436716925e-04,5.8938633523e-01,3.4737735529e-01,0.6666656081252271
180,0.09454500,1000,7.5281697462e-01,6.8715844132e-04,5.6673386899e-01,3.2118834745e-01,0.6666655570499406
180,0.09818100,1000,7.3797207339e-01,6.9377991965e-04,5.4460326195e-01,2.9659376038e-01,0.6666654894630779
180,0.10177700,1000,7.2316938134e-01,6.7846413276e-04,5.2297441397e-01,2.7350319968e-01,0.6666654941977482
180,0.10533200,1000,7.0847556944e-01,6.8725543748e-04,5.0193810435e-01,2.5194280787e-01,0.6666654133630012
180,0.10884700,1000,6.9388487294e-01,7.3216893419e-04,4.8147675243e-01,2.3182089443e-01,0.6666651837629641
180,0.11232200,1000,6.7940596536e-01,7.4077912768e-04,4.6159301398e-01,2.1306912286e-01,0.666665082972588
180,0.11575600,1000,6.6510039781e-01,7.2726250238e-04,4.4235906754e-01,1.9568247953e-01,0.6666650741199016
180,0.11915000,1000,6.5093713203e-01,7.8234381247e-04,4.2371976131e-01,1.7953947223e-01,0.6666647430128981
180,0.12250300,1000,6.3693448337e-01,8.0523145246e-04,4.0568618385e-01,1.6458233032e-01,0.6666645389480196
180,0.12581700,1000,6.2305104698e-01,8.2334979835e-04,3.8819328437e-01,1.5069507666e-01,0.6666643426866055
180,0.12908900,1000,6.0927384499e-01,9.6786892559e-04,3.7121555403e-01,1.3780237589e-01,0.6666633083418085
180,0.13232100,1000,5.9560709242e-01,1.0523720775e-03,3.5474891492e-01,1.2584836077e-01,0.6666625131266988
180,0.13551300,1000,5.8197088529e-01,1.2103935491e-03,3.3869157491e-01,1.1471396326e-01,0.6666609121387393
180,0.13866500,1000,5.6847476200e-01,1.1871363676e-03,3.2316496292e-01,1.0443741243e-01,0.6666608603189239
180,0.14177600,1000,5.5523087106e-01,1.1876089881e-03,3.0828272918e-01,9.5039978097e-02,0.666660574427947
180,0.14484600,1000,5.4220233350e-01,1.1250644108e-03,2.9398463496e-01,8.6428452325e-02,0.6666609326116811
180,0.14787700,1000,5.2941869342e-01,1.0481315417e-03,2.8028525042e-01,7.8561052158e-02,0.6666614453575526
180,0.15086600,1000,5.1704088409e-01,1.0182570995e-03,2.6733231163e-01,7.1467672647e-02,0.6666614996550497
