L,rho,mean_density,std_density,second_moment,fourth_moment,Binder_cumulant
80,0.3045820,1.1828367187e-03,3.1380989121e-04,1.4975793510e-06,3.0401164859e-12,5.4815520566e-01
80,0.3096240,9.3042695312e-04,2.3814168766e-04,9.2240577850e-07,1.1303968714e-12,5.5714080921e-01
80,0.3150330,7.3602187500e-04,1.7829229284e-04,5.7351634216e-07,4.2745254193e-13,5.6681335966e-01
80,0.3208220,5.8932929688e-04,1.3605878407e-04,3.6582101288e-07,1.6890396298e-13,5.7929149763e-01
80,0.3270020,4.8024414062e-04,1.0806334353e-04,2.4231212082e-07,7.3237888654e-14,5.8421934077e-01
80,0.3335880,3.9441972656e-04,8.6089222415e-05,1.6297827492e-07,3.2721993310e-14,5.8936206850e-01
80,0.3405920,3.2355371094e-04,6.8526869572e-05,1.0938293571e-07,1.4629158345e-14,5.9243307229e-01
80,0.3480270,2.6992968750e-04,5.7042124391e-05,7.6115840149e-08,7.0765942914e-15,5.9285139392e-01
80,0.3559050,2.2552890625e-04,4.4654261780e-05,5.2857290649e-08,3.3073916185e-15,6.0540228139e-01
80,0.3642400,1.8908398438e-04,3.7549745194e-05,3.7162736511e-08,1.6463290445e-15,6.0264378237e-01
80,0.3730450,1.6000820313e-04,3.1773331269e-05,2.6612169647e-08,8.4976276437e-16,6.0004063010e-01
80,0.3823320,1.3594042969e-04,2.6092090504e-05,1.9160597610e-08,4.3056414727e-16,6.0907044233e-01
80,0.3921140,1.1617773438e-04,2.2484677586e-05,1.4002826691e-08,2.3129287235e-16,6.0680356876e-01
80,0.4024040,9.9219335938e-05,1.9205349343e-05,1.0213322067e-08,1.2293179563e-16,6.0716613836e-01
80,0.4132150,8.5035937500e-05,1.6781438837e-05,7.5127273560e-09,6.6904194152e-17,6.0487288543e-01
80,0.4245600,7.2957226563e-05,1.4264942726e-05,5.5262454987e-09,3.6113003486e-17,6.0583141641e-01
80,0.4364520,6.2918554688e-05,1.2534159793e-05,4.1158496857e-09,2.0215525305e-17,6.0221833141e-01
80,0.4489030,5.4203710938e-05,1.0728923756e-05,3.0531520844e-09,1.1064706014e-17,6.0434036268e-01
80,0.4619260,4.6708203125e-05,9.3259022867e-06,2.2686286926e-09,6.1265356868e-18,6.0320437799e-01
80,0.4755340,4.0234960938e-05,8.3003308495e-06,1.6877475739e-09,3.4290342664e-18,5.9873102221e-01
80,0.4897410,3.4588867188e-05,7.2469912238e-06,1.2489086151e-09,1.8926626755e-18,5.9552597195e-01
80,0.5045590,2.9903320313e-05,6.4842837408e-06,9.3625450134e-10,1.0805182261e-18,5.8911242868e-01
80,0.5200000,2.5608203125e-05,5.6350922782e-06,6.8753433228e-10,5.8742459223e-19,5.8576948386e-01
100,0.0000000,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,1.0000000000e+00,6.6666666667e-01
100,0.0154410,9.9085977960e-01,3.6126934277e-04,9.8180323334e-01,9.6393810156e-01,6.6666648942e-01
100,0.0302590,9.6691669960e-01,6.8162493173e-04,9.3492836858e-01,8.7409279182e-01,6.6666600409e-01
100,0.0444660,9.3256426090e-01,9.6232189419e-04,8.6967702677e-01,7.5634135217e-01,6.6666524699e-01
100,0.0580740,8.9139306960e-01,1.1846422008e-03,7.9458300791e-01,6.3136661681e-01,6.6666431178e-01
100,0.0710970,8.4618487270e-01,1.3871758055e-03,7.1603076304e-01,5.1270556499e-01,6.6666308343e-01
100,0.0835480,7.9916653840e-01,1.4971216012e-03,6.3866939747e-01,4.0790432562e-01,6.6666198711e-01
100,0.0954400,7.5208554560e-01,1.6207050089e-03,5.6563529459e-01,3.1994922913e-01,6.6666047530e-01
100,0.1067850,7.0624357260e-01,1.6790998065e-03,4.9878280321e-01,2.4878991000e-01,6.6665912973e-01
100,0.1175960,6.6431657100e-01,1.6600696916e-03,4.4131926234e-01,1.9476755712e-01,6.6665833891e-01
100,0.1278860,6.2575309430e-01,1.7753854841e-03,3.9157008702e-01,1.5333206963e-01,6.6665593453e-01
100,0.1376680,5.8915196630e-01,1.8713903902e-03,3.4710354150e-01,1.2048573060e-01,6.6665321479e-01
100,0.1469550,5.5462406750e-01,1.8569447232e-03,3.0761130449e-01,9.4628957799e-02,6.6665171939e-01
100,0.1557600,5.2170906550e-01,1.9164893633e-03,2.7218402196e-01,7.4088140968e-02,6.6664867289e-01
100,0.1640950,4.9023592090e-01,1.9195230680e-03,2.4033494271e-01,5.7764426521e-02,6.6664622703e-01
100,0.1719730,4.6043167310e-01,1.9331399351e-03,2.1200106262e-01,4.4947620099e-02,6.6664315953e-01
100,0.1794080,4.3257288180e-01,1.9223347299e-03,1.8712299344e-01,3.5017781342e-02,6.6664032875e-01
100,0.1864120,4.0685111990e-01,1.9105519489e-03,1.6553148397e-01,2.7403088244e-02,6.6663727495e-01
100,0.1929980,3.8314426700e-01,1.8334653687e-03,1.4680289093e-01,2.1553063070e-02,6.6663613016e-01
100,0.1991780,3.6137140420e-01,1.8386843653e-03,1.3059267253e-01,1.7056212163e-02,6.6663214891e-01
100,0.2049670,3.4134851200e-01,1.8072687271e-03,1.1652207286e-01,1.3578915758e-02,6.6662929344e-01
100,0.2103760,3.2293904350e-01,1.8361559801e-03,1.0429299729e-01,1.0878435627e-02,6.6662356838e-01
100,0.2154180,3.0600276850e-01,1.8288283599e-03,9.3641038943e-02,8.7698969893e-03,6.6661904186e-01
100,0.2201070,2.9033539390e-01,1.8350571264e-03,8.4298008386e-02,7.1072894107e-03,6.6661341738e-01
100,0.2244550,2.7588855500e-01,1.8704578293e-03,7.6117993392e-02,5.7950142705e-03,6.6660537557e-01
100,0.2284750,2.6249919270e-01,1.9156586107e-03,6.8909495916e-02,4.7495299342e-03,6.6659567563e-01
100,0.2321800,2.4999659550e-01,2.0014355270e-03,6.2502303506e-02,3.9075395016e-03,6.6658120667e-01
100,0.2355820,2.3840030540e-01,2.0769292484e-03,5.6839019250e-02,3.2316546358e-03,6.6656549825e-01
100,0.2386950,2.2754039080e-01,2.1277290065e-03,5.1779156676e-02,2.6820180676e-03,6.6655017118e-01
100,0.2415320,2.1739395630e-01,2.2748616679e-03,4.7265307231e-02,2.2349870473e-03,6.6652077356e-01
100,0.2441050,2.0784926050e-01,2.4375847363e-03,4.3207256910e-02,1.8678925904e-03,6.6648355404e-01
100,0.2464270,1.9895895980e-01,2.6009411949e-03,3.9591432580e-02,1.5685518276e-03,6.6643906295e-01
100,0.2485110,1.9058089090e-01,2.8023906906e-03,3.6328929370e-02,1.3209295347e-03,6.6637913996e-01
100,0.2503700,1.8276324030e-01,3.0299336108e-03,3.3411582503e-02,1.1175572578e-03,6.6630136003e-01
100,0.2520170,1.7543114950e-01,3.3254194014e-03,3.0787146629e-02,9.4920493564e-04,6.6618960793e-01
100,0.2534650,1.6877990990e-01,3.6524698440e-03,2.8499998522e-02,8.1376257941e-04,6.6604589563e-01
100,0.2547260,1.6253449150e-01,3.9676252795e-03,2.6433202978e-02,7.0036484072e-04,6.6587921021e-01
100,0.2558130,1.5690605390e-01,4.2491712730e-03,2.4637565207e-02,6.0877316213e-04,6.6569823456e-01
100,0.2567400,1.5180435280e-01,4.7025046638e-03,2.3066675079e-02,5.3408748314e-04,6.6540368858e-01
100,0.2575180,1.4735217840e-01,5.0535620391e-03,2.1738202969e-02,4.7473242240e-04,6.6512682499e-01
100,0.2581620,1.4363145650e-01,5.2845105167e-03,2.0657921348e-02,4.2901707120e-04,6.6489563889e-01
100,0.2586840,1.4024209020e-01,5.6265680787e-03,1.9699502132e-02,3.9050778525e-04,6.6457305934e-01
