L,rho,mean_density,std_density
10,0.3547910,3.2475600000e-02,1.7181402872e-02
10,0.3575780,3.1046300000e-02,1.6212518506e-02
10,0.3604070,2.9634200000e-02,1.5679948672e-02
10,0.3632750,2.8341000000e-02,1.4766811403e-02
10,0.3661840,2.7366200000e-02,1.4340993604e-02
10,0.3691340,2.6053900000e-02,1.3292561634e-02
10,0.3721230,2.5001900000e-02,1.3045815283e-02
10,0.3751540,2.3986200000e-02,1.2423140085e-02
10,0.3782240,2.3119200000e-02,1.1957474288e-02
10,0.3813350,2.1982200000e-02,1.1159788670e-02
10,0.3844870,2.1047500000e-02,1.0797362815e-02
10,0.3876790,2.0250000000e-02,1.0370742500e-02
10,0.3909110,1.9303800000e-02,9.8202192216e-03
10,0.3941830,1.8727600000e-02,9.5639844333e-03
10,0.3974970,1.7948900000e-02,9.2804358082e-03
10,0.4008500,1.7297600000e-02,8.9894290275e-03
10,0.4042440,1.6388800000e-02,8.4452255482e-03
10,0.4076780,1.5646600000e-02,7.9574812874e-03
10,0.4111530,1.4989100000e-02,7.6250758154e-03
10,0.4146680,1.4406500000e-02,7.3837021710e-03
10,0.4182230,1.3856900000e-02,7.0980858258e-03
10,0.4218190,1.3228600000e-02,6.7914904137e-03
10,0.4254550,1.2582900000e-02,6.4642190240e-03
10,0.4291320,1.2071300000e-02,6.3280183557e-03
10,0.4328490,1.1818600000e-02,6.1994430427e-03
10,0.4366070,1.1085600000e-02,5.7976954594e-03
10,0.4404050,1.0759000000e-02,5.5399565883e-03
10,0.4442430,1.0246900000e-02,5.3327422955e-03
10,0.4481220,9.8602000000e-03,5.2278538579e-03
10,0.4520410,9.4031000000e-03,4.9751392332e-03
10,0.4560000,9.2172000000e-03,4.9664297196e-03
10,0.4600000,8.7006000000e-03,4.6157729190e-03
20,0.0600000,9.0442861250e-01,1.1400031349e-02
20,0.0640000,8.9303413750e-01,1.1875798208e-02
20,0.0679590,8.8158427500e-01,1.2496540430e-02
20,0.0718780,8.6950615000e-01,1.2968364259e-02
20,0.0757570,8.5713786250e-01,1.3613434605e-02
20,0.0795950,8.4441342500e-01,1.3857903377e-02
20,0.0833930,8.3229385000e-01,1.4383251620e-02
20,0.0871510,8.1945982500e-01,1.4862971556e-02
20,0.0908680,8.0687961250e-01,1.5478464848e-02
20,0.0945450,7.9406477500e-01,1.5574850355e-02
20,0.0981810,7.8145861250e-01,1.6010973226e-02
20,0.1017770,7.6819513750e-01,1.6098421054e-02
20,0.1053320,7.5563105000e-01,1.6336745993e-02
20,0.1088470,7.4268875000e-01,1.6385570682e-02
20,0.1123220,7.3023682500e-01,1.6854937097e-02
20,0.1157560,7.1786042500e-01,1.7050052238e-02
20,0.1191500,7.0516185000e-01,1.7288246591e-02
20,0.1225030,6.9253791250e-01,1.7470966769e-02
20,0.1258170,6.8006775000e-01,1.7585298208e-02
20,0.1290890,6.6805916250e-01,1.7813188534e-02
20,0.1323210,6.5610121250e-01,1.7858302029e-02
20,0.1355130,6.4417745000e-01,1.7938306139e-02
20,0.1386650,6.3254401250e-01,1.7829531124e-02
20,0.1417760,6.2093652500e-01,1.8177733606e-02
20,0.1448460,6.0966091250e-01,1.8457249998e-02
20,0.1478770,5.9829660000e-01,1.8145220970e-02
20,0.1508660,5.8723401250e-01,1.8372480500e-02
20,0.1538160,5.7635885000e-01,1.8257638687e-02
20,0.1567250,5.6591585000e-01,1.8327580992e-02
20,0.1595930,5.5523540000e-01,1.8503822814e-02
20,0.1624220,5.4488688750e-01,1.8548234272e-02
20,0.1652090,5.3496360000e-01,1.8312529267e-02
20,0.1679570,5.2486283750e-01,1.8668928578e-02
20,0.1706640,5.1534590000e-01,1.8471168244e-02
20,0.1733300,5.0567431250e-01,1.8572986714e-02
20,0.1759570,4.9668725000e-01,1.8534743725e-02
20,0.1785420,4.8680760000e-01,1.8754021928e-02
20,0.1810880,4.7788973750e-01,1.8879276254e-02
20,0.1835930,4.6947380000e-01,1.8800910329e-02
20,0.1860570,4.6115411250e-01,1.8596723274e-02
20,0.1884820,4.5237500000e-01,1.8654557838e-02
20,0.1908650,4.4421516250e-01,1.8702691662e-02
20,0.1932090,4.3595340000e-01,1.8819273291e-02
20,0.1955120,4.2773132500e-01,1.8800472019e-02
20,0.1977740,4.2013360000e-01,1.8780356288e-02
20,0.1999960,4.1259943750e-01,1.8775650322e-02
20,0.2021780,4.0490190000e-01,1.8909194807e-02
20,0.2043200,3.9761221250e-01,1.8971906794e-02
20,0.2064210,3.9064303750e-01,1.9329447773e-02
20,0.2084810,3.8342938750e-01,1.9232147399e-02
20,0.2105010,3.7653891250e-01,1.9137688272e-02
20,0.2124810,3.6937636250e-01,1.9422198310e-02
20,0.2144200,3.6328753750e-01,1.9850449507e-02
20,0.2163190,3.5633265000e-01,2.0001041619e-02
20,0.2181780,3.5004500000e-01,2.0168312166e-02
20,0.2199960,3.4370078750e-01,2.0724512547e-02
20,0.2217740,3.3778897500e-01,2.0656585958e-02
20,0.2235110,3.3120463750e-01,2.1299232529e-02
20,0.2252080,3.2600956250e-01,2.1542885589e-02
20,0.2268640,3.1975297500e-01,2.2019598385e-02
20,0.2284810,3.1400923750e-01,2.2646558941e-02
20,0.2300560,3.0811050000e-01,2.3277512802e-02
20,0.2315920,3.0230857500e-01,2.3861283499e-02
20,0.2330870,2.9639332500e-01,2.5018923559e-02
20,0.2345410,2.9081027500e-01,2.6141582382e-02
20,0.2359550,2.8516808750e-01,2.7166571048e-02
20,0.2373290,2.7906806250e-01,2.8675813420e-02
20,0.2386620,2.7392002500e-01,2.9449487754e-02
20,0.2399550,2.6891013750e-01,3.0530300851e-02
20,0.2412080,2.6384030000e-01,3.1572192704e-02
20,0.2424200,2.5856585000e-01,3.3008473742e-02
20,0.2435910,2.5171257500e-01,3.5326828588e-02
20,0.2447230,2.4737986250e-01,3.6539297464e-02
20,0.2458130,2.4277208750e-01,3.7309611211e-02
20,0.2468640,2.3734888750e-01,3.8565365708e-02
20,0.2478740,2.3209743750e-01,3.9955686954e-02
20,0.2488440,2.2824677500e-01,4.1111205653e-02
20,0.2497730,2.2200393750e-01,4.2618969791e-02
20,0.2506620,2.1772173750e-01,4.3819153414e-02
20,0.2515100,2.1243110000e-01,4.4549098402e-02
20,0.2523180,2.0889470000e-01,4.5272021051e-02
20,0.2530860,2.0450542500e-01,4.5821644537e-02
20,0.2538130,2.0019798750e-01,4.7046784820e-02
20,0.2545000,1.9682805000e-01,4.7187412372e-02
20,0.2551470,1.9180203750e-01,4.8676152464e-02
20,0.2557530,1.8970660000e-01,4.9263307601e-02
20,0.2563180,1.8626276250e-01,4.8980580986e-02
