L,rho,n_samples,mean,std,second_moment,fourth_moment,binder_cumulant
280,0.26024700,1000,2.5176371037e-02,1.0100473982e-02,7.3576721367e-04,8.2965684791e-07,0.4891464866307135
280,0.26040900,1000,2.2048456906e-02,9.2927618627e-03,5.7240351955e-04,5.3247084366e-07,0.4582860910278491
280,0.26061100,1000,1.8477942875e-02,8.4525279599e-03,4.1280815659e-04,3.0528947915e-07,0.4028354154237018
280,0.26085400,1000,1.5068816919e-02,7.1359553680e-03,2.7794018048e-04,1.4720367023e-07,0.36482307378639156
280,0.26113600,1000,1.1813794825e-02,5.8736719872e-03,1.7403127076e-04,6.5127239373e-08,0.2832184267304443
280,0.26146000,1000,9.0345568969e-03,4.3114464684e-03,1.0019320040e-04,2.0583569349e-08,0.31652452758525884
280,0.26182300,1000,6.9613798287e-03,3.3628099925e-03,5.9757991674e-05,7.8126618019e-09,0.2707343074160208
280,0.26222700,1000,5.2469113520e-03,2.3929698179e-03,3.3250656981e-05,2.5206060951e-09,0.24005306810892557
280,0.26267200,1000,3.9697238520e-03,1.7275027761e-03,1.8739989037e-05,7.1825664578e-10,0.3182584976025413
280,0.26315600,1000,3.1138009749e-03,1.2687801536e-03,1.1303949786e-05,2.3527676724e-10,0.3862417395987727
280,0.26368200,1000,2.4527286352e-03,9.3386623175e-04,6.8871117906e-06,8.8260349124e-11,0.3797452177882217
280,0.26424700,1000,1.8872613429e-03,6.5846228465e-04,3.9948943842e-06,2.6353936507e-11,0.4495553735166007
280,0.26485300,1000,1.5036176203e-03,5.1921025183e-04,2.5301756543e-06,1.0783356301e-11,0.43852379557440624
280,0.26550000,1000,1.1872074526e-03,3.4391947528e-04,1.5276238604e-06,3.3104826941e-12,0.5271349664271785
280,0.26618700,1000,9.9152596574e-04,3.0929964064e-04,1.0786943422e-06,1.8440472970e-12,0.4717323703815598
280,0.26691400,1000,8.0789340379e-04,2.2438141639e-04,7.0298842489e-07,6.8123116330e-13,0.5405091117201273
280,0.26768200,1000,6.6528498542e-04,1.7466395701e-04,4.7308110221e-07,3.0067929850e-13,0.5521721755634605
280,0.26849000,1000,5.6268153243e-04,1.4965146368e-04,3.3898367196e-07,1.5560970912e-13,0.5486038229681174
280,0.26933800,1000,4.6783614249e-04,1.2159331411e-04,2.3364080533e-07,7.3740729613e-14,0.5497136451928
280,0.27022700,1000,3.9595986698e-04,9.8454940646e-05,1.6646789822e-07,3.6594294796e-14,0.5598191598059683
280,0.27115600,1000,3.3728143222e-04,7.4873885936e-05,1.1935925721e-07,1.7579857143e-14,0.5886780633690519
280,0.27212600,1000,2.9336260933e-04,6.5454673729e-05,9.0341650551e-08,1.0082779499e-14,0.5882031946019994
280,0.27313600,1000,2.5437745991e-04,5.4957942386e-05,6.7725247167e-08,5.5959917285e-15,0.5933183173548044
280,0.27418700,1000,2.1919975401e-04,4.7321459569e-05,5.0285613373e-08,3.1468741158e-15,0.5851695652554612
280,0.27527700,1000,1.9245266946e-04,4.1416915811e-05,3.8751675537e-08,1.8333160008e-15,0.5930555744100151
280,0.27640900,1000,1.6829933491e-04,3.6119037764e-05,2.9627946436e-08,1.0874436523e-15,0.5870643236674584
280,0.27758000,1000,1.4757648506e-04,2.9040030347e-05,2.2621298981e-08,6.0334136769e-16,0.6069871329608477
280,0.27879200,1000,1.2920881924e-04,2.5078938793e-05,1.7323243188e-08,3.5268989247e-16,0.6082460765810036
280,0.28004500,1000,1.1506486880e-04,2.2827036947e-05,1.3760476575e-08,2.2524713824e-16,0.6034745409576853
280,0.28133800,1000,1.0289805029e-04,2.0000394121e-05,1.0987624503e-08,1.4305330934e-16,0.6050255200323402
280,0.28267100,1000,9.1931304665e-05,1.7327440294e-05,8.7513047243e-09,8.9267642336e-17,0.6114676390691504
280,0.28404500,1000,8.1781568878e-05,1.5219507560e-05,6.9196267850e-09,5.5596008199e-17,0.6129589641275743
280,0.28545900,1000,7.3487518222e-05,1.2681259932e-05,5.5610688735e-09,3.5113106591e-17,0.6215300066937409
280,0.28691300,1000,6.6141217201e-05,1.1434957882e-05,4.5052881164e-09,2.3189420630e-17,0.6191767068512182
280,0.28840800,1000,6.0178981414e-05,1.0255306136e-05,3.7265759367e-09,1.5742007324e-17,0.6221504539376039
280,0.28994400,1000,5.4044642857e-05,9.0142984996e-06,3.0019997414e-09,1.0158213633e-17,0.624270939693935
280,0.29151900,1000,4.9217702259e-05,8.2481101909e-06,2.4903455061e-09,7.0768502330e-18,0.6196358816795278
280,0.29313600,1000,4.5179619169e-05,7.3399321892e-06,2.0950187182e-09,4.9121275045e-18,0.6269452608959736
280,0.29479200,1000,4.1403061224e-05,6.8412547495e-06,1.7609694425e-09,3.4934562482e-18,0.6244822984282719
280,0.29648900,1000,3.7597758746e-05,5.9112720520e-06,1.4484996569e-09,2.3359051408e-18,0.6288947020857376
280,0.29822600,1000,3.4268995991e-05,5.3241319792e-06,1.2026821212e-09,1.6048171346e-18,0.6301696162418291
280,0.30000400,1000,3.1493850219e-05,4.6925678935e-06,1.0138607748e-09,1.1304978581e-18,0.6334005178832334
280,0.30182200,1000,2.9021045918e-05,4.3972293690e-06,8.6153739669e-10,8.1971526156e-19,0.6318765368592814
280,0.30368100,1000,2.6646000364e-05,4.1119856447e-06,7.2690085294e-10,5.8461596152e-19,0.6311930836505217
280,0.30558000,1000,2.4689413265e-05,3.7588883161e-06,6.2368223952e-10,4.3024414850e-19,0.6313052411862359
280,0.30751900,1000,2.2951986152e-05,3.4956505185e-06,5.3900102128e-10,3.2128595395e-19,0.6313694633315354
280,0.30949900,1000,2.0841198980e-05,2.9615743548e-06,4.4311772664e-10,2.1483099819e-19,0.6352985890310752
280,0.31151900,1000,1.9535987609e-05,2.7341330552e-06,3.8912281995e-10,1.6442040084e-19,0.638039610604278
280,0.31357900,1000,1.8117802478e-05,2.7535794289e-06,3.3582938411e-10,1.2518419757e-19,0.6300092477791049
280,0.31568000,1000,1.6735240525e-05,2.3689658431e-06,2.8567466259e-10,8.9274372075e-20,0.6353618509836371
280,0.31782200,1000,1.5783345481e-05,2.1716484067e-06,2.5382533532e-10,6.9970026607e-20,0.637989766844876
280,0.32000400,1000,1.4580311589e-05,1.9239548697e-06,2.1628338677e-10,5.0347316855e-20,0.6412360863473331
280,0.32222600,1000,1.3687317784e-05,1.9091279427e-06,1.9098379286e-10,3.9764459665e-20,0.6366034476174856
280,0.32448800,1000,1.2855502915e-05,1.8490981960e-06,1.6867970018e-10,3.1182598872e-20,0.6346867600570759
280,0.32679100,1000,1.1882334184e-05,1.5754549304e-06,1.4366944183e-10,2.2262032791e-20,0.6404868714389429
280,0.32913500,1000,1.1154427843e-05,1.5026938538e-06,1.2667709122e-10,1.7342344645e-20,0.6397612781725353
280,0.33151800,1000,1.0510340743e-05,1.5344678989e-06,1.1281949968e-10,1.4031080465e-20,0.6325472333823337
280,0.33394300,1000,9.8439777697e-06,1.3385707701e-06,9.8693878265e-11,1.0537721131e-20,0.6393839799516268
280,0.33640700,1000,9.2196610787e-06,1.2396819433e-06,8.6537424916e-11,8.0969331629e-21,0.6395945381076575
280,0.33891200,1000,8.7531432216e-06,1.2672993099e-06,7.8221957751e-11,6.7333391853e-21,0.6331809559190885
280,0.34145800,1000,8.2754646501e-06,1.1557376534e-06,6.9817708970e-11,5.3314542267e-21,0.6354196621563775
280,0.34404300,1000,7.7559675656e-06,1.0502147673e-06,6.1256880985e-11,4.0604685215e-21,0.6393008381685257
280,0.34667000,1000,7.3284894315e-06,1.0009581463e-06,5.4707672641e-11,3.2392778270e-21,0.6392299600640734
280,0.34933600,1000,6.9024234694e-06,9.4738829807e-07,4.8540096793e-11,2.5643342591e-21,0.6372126763317945
280,0.35204300,1000,6.5087463557e-06,8.4659876908e-07,4.3079791869e-11,1.9942775918e-21,0.6418069443312708
280,0.35479100,1000,6.1077350583e-06,7.9855200504e-07,3.7941475162e-11,1.5464961289e-21,0.6419042570878466
280,0.35757800,1000,5.7998815598e-06,7.8244671801e-07,3.4250236751e-11,1.2712558008e-21,0.638769396043902
280,0.36040700,1000,5.5366253644e-06,7.7013399924e-07,3.1246733696e-11,1.0643398199e-21,0.6366293852119835
280,0.36327500,1000,5.2093203353e-06,7.0217009855e-07,2.7629568160e-11,8.2551528118e-22,0.6395411705856018
280,0.36618400,1000,4.9586825802e-06,6.6661072848e-07,2.5032458424e-11,6.7860489014e-22,0.6390153598376908
280,0.36913400,1000,4.7206177114e-06,6.1465398968e-07,2.2661653304e-11,5.5188574494e-22,0.6417841983199629
280,0.37212300,1000,4.4822339650e-06,6.0337594235e-07,2.0454119782e-11,4.5215375229e-22,0.6397505763088344
280,0.37515400,1000,4.2641672740e-06,5.9357028978e-07,1.8535095904e-11,3.7406596445e-22,0.6370579694368064
280,0.37822400,1000,4.0249180029e-06,5.4704413468e-07,1.6498922958e-11,2.9487913396e-22,0.6389132116886507
280,0.38133500,1000,3.8572795189e-06,5.5587427480e-07,1.5187292500e-11,2.5324933398e-22,0.6340124243218044
280,0.38448700,1000,3.6390761662e-06,4.9718295585e-07,1.3489819044e-11,1.9735973035e-22,0.6384860665889318
280,0.38767900,1000,3.4422376093e-06,4.5705508260e-07,1.2057690208e-11,1.5710249172e-22,0.639808404250753
280,0.39091100,1000,3.3141399417e-06,4.5804612668e-07,1.1193120001e-11,1.3672883185e-22,0.6362219178588242
280,0.39418300,1000,3.1555211370e-06,4.3163617671e-07,1.0143437125e-11,1.1148058857e-22,0.6388332882949719
280,0.39749700,1000,3.0004555394e-06,4.0245580060e-07,9.1645421444e-12,9.1067498828e-23,0.6385729868975878
280,0.40085000,1000,2.8543185131e-06,3.9179830104e-07,8.3004865771e-12,7.4786799519e-23,0.6381766500933107
280,0.40424400,1000,2.7472212099e-06,3.6932551555e-07,7.6834893113e-12,6.3886723386e-23,0.6392782102871583
280,0.40767800,1000,2.6130193149e-06,3.4881142868e-07,6.9494176832e-12,5.2144291476e-23,0.6400943321842264
280,0.41115300,1000,2.4984967201e-06,3.3123840052e-07,6.3520950195e-12,4.3548111278e-23,0.6402389870875826
280,0.41466800,1000,2.3873906706e-06,3.4008773177e-07,5.8151782195e-12,3.7054224562e-23,0.6347498390271851
280,0.41822300,1000,2.2735969388e-06,3.0410951373e-07,5.2616331537e-12,2.9886620104e-23,0.6401558740261972
280,0.42181900,1000,2.1917820700e-06,3.1160955239e-07,4.9009120549e-12,2.6246154546e-23,0.6357575081408672
280,0.42545500,1000,2.0889212828e-06,2.9112531443e-07,4.4482613205e-12,2.1494161401e-23,0.6379082201662308
280,0.42913200,1000,1.9947157434e-06,2.7357830670e-07,4.0536611419e-12,1.7823254284e-23,0.6384479196594455
280,0.43284900,1000,1.8939048834e-06,2.6633496353e-07,3.6577390858e-12,1.4570737352e-23,0.6369764253906738
280,0.43660700,1000,1.8250728863e-06,2.6567716948e-07,3.4014048143e-12,1.2708586066e-23,0.6338497495177761
280,0.44040500,1000,1.7551020408e-06,2.4397481935e-07,3.1398473624e-12,1.0732061102e-23,0.6371352264428228
280,0.44424300,1000,1.6652241254e-06,2.2851617439e-07,2.8251388100e-12,8.6333780257e-24,0.6394380279749643
280,0.44812200,1000,1.6051840379e-06,2.2480386964e-07,2.6271020386e-12,7.5226339423e-24,0.6366754104273536
280,0.45204100,1000,1.5261024052e-06,2.1636228990e-07,2.3757543791e-12,6.1544033517e-24,0.6365358137624371
280,0.45600000,1000,1.4578170554e-06,2.0889857376e-07,2.1688255425e-12,5.1556300945e-24,0.63464819549721
280,0.46000000,1000,1.4018768222e-06,1.9201235613e-07,2.0020905007e-12,4.3402183873e-24,0.6390700530209766
320,0.06000000,1000,8.8301771515e-01,2.1490050315e-04,7.7972033140e-01,6.0796393910e-01,0.6666665877731075
