L,rho,mean_density,std_density,second_moment,fourth_moment,Binder_cumulant
180,0.2503120,1.4099141574e-01,1.8999683937e-03,1.9882189192e-02,3.9558801578e-04,6.6642502096e-01
180,0.2514070,1.3455237215e-01,2.1132989605e-03,1.8108806885e-02,3.2825144649e-04,6.6633879100e-01
180,0.2524170,1.2818962589e-01,2.3628828745e-03,1.6438163402e-02,2.7057850083e-04,6.6621605361e-01
180,0.2533450,1.2184798145e-01,2.7225894704e-03,1.4854343076e-02,2.2108887795e-04,6.6600594193e-01
180,0.2541930,1.1563692514e-01,3.0590446635e-03,1.3381256209e-02,1.7955451470e-04,6.6574239090e-01
180,0.2549660,1.0935018666e-01,3.4861106436e-03,1.1969616290e-02,1.4384629921e-04,6.6532984759e-01
180,0.2556680,1.0323781499e-01,4.1704886320e-03,1.0675439419e-02,1.1468966989e-04,6.6454711806e-01
180,0.2563010,9.6937387894e-02,4.6947395885e-03,9.4188977516e-03,8.9517259068e-05,6.6365470523e-01
180,0.2568690,9.0950962997e-02,5.7218279767e-03,8.3048169855e-03,6.9990229461e-05,6.6173580534e-01
180,0.2573750,8.4645312243e-02,7.1916440216e-03,7.2165486284e-03,5.3404944099e-05,6.5817712296e-01
180,0.2578240,7.8516911523e-02,8.4467656249e-03,6.2362532446e-03,4.0421928359e-05,6.5354384000e-01
180,0.2582190,7.2382413409e-02,1.0009047750e-02,5.3393948077e-03,3.0269553183e-05,6.4608360149e-01
180,0.2585620,6.6135153669e-02,1.1848814819e-02,4.5142529635e-03,2.2405892069e-05,6.3350403189e-01
180,0.2588590,6.0827128498e-02,1.3046725158e-02,3.8701565986e-03,1.7079136782e-05,6.1990900076e-01
180,0.2591110,5.6034583162e-02,1.3672314035e-02,3.3268066812e-03,1.3071322677e-05,6.0632018222e-01
180,0.2593240,5.1703832545e-02,1.3927380273e-02,2.8672582211e-03,1.0058969253e-05,5.9215174109e-01
180,0.2594990,4.8434233848e-02,1.4062413351e-02,2.5436264777e-03,8.1550331839e-06,5.7985635036e-01
180,0.2596410,4.5359197016e-02,1.4366093200e-02,2.2638413878e-03,6.7241228252e-06,5.6265678608e-01
180,0.2597540,4.3398043896e-02,1.4212397307e-02,2.0853824512e-03,5.8208815648e-06,5.5383440351e-01
180,0.2598400,4.1776573320e-02,1.4242385588e-02,1.9481276256e-03,5.1794201004e-06,5.4509042997e-01
180,0.2599030,4.0192800000e-02,1.4209621852e-02,1.8173745250e-03,4.6025504370e-06,5.3549710017e-01
180,0.2599470,3.8647717010e-02,1.4044368651e-02,1.6908903209e-03,4.0793302783e-06,5.2440559379e-01
180,0.2599750,3.8999588889e-02,1.4040997270e-02,1.7181175378e-03,4.1894912424e-06,5.2692032445e-01
180,0.2599910,3.8679808025e-02,1.3934101887e-02,1.6902867442e-03,4.0526441493e-06,5.2717933945e-01
180,0.2599980,3.8775309259e-02,1.3952067344e-02,1.6981847913e-03,4.0862688928e-06,5.2768059071e-01
180,0.2600000,3.9234878669e-02,1.4232747521e-02,1.7419468062e-03,4.3051066751e-06,5.2707433325e-01
180,0.2600020,3.8596536694e-02,1.3946668808e-02,1.6842022156e-03,4.0310887748e-06,5.2628990582e-01
180,0.2600090,3.8372747599e-02,1.4125998207e-02,1.6720115837e-03,4.0290460579e-06,5.1960064734e-01
180,0.2600250,3.8365527229e-02,1.3633004569e-02,1.6577724932e-03,3.8762882184e-06,5.2984079000e-01
180,0.2600530,3.7267531207e-02,1.3904031999e-02,1.5821909881e-03,3.6484844089e-06,5.1418219555e-01
180,0.2600970,3.6807899520e-02,1.3578990839e-02,1.5392104593e-03,3.4282968414e-06,5.1765125580e-01
180,0.2601600,3.5690824657e-02,1.3563677866e-02,1.4578083220e-03,3.1359206094e-06,5.0813835896e-01
180,0.2602460,3.4205957922e-02,1.3380171802e-02,1.3490765548e-03,2.7668260832e-06,4.9325739846e-01
180,0.2603590,3.2443939438e-02,1.3109630161e-02,1.2244716092e-03,2.3334910778e-06,4.8121495278e-01
180,0.2605010,3.0095018553e-02,1.2520321835e-02,1.0624686005e-03,1.8183290832e-06,4.6306832829e-01
180,0.2606760,2.7576313546e-02,1.1864579249e-02,9.0122130955e-04,1.3563986141e-06,4.4332312786e-01
180,0.2608890,2.4325542078e-02,1.0948177014e-02,7.1159457733e-04,8.9619777047e-07,4.1004709415e-01
180,0.2611410,2.1658526132e-02,1.0263909273e-02,5.7443958776e-04,6.2223843585e-07,3.7143983282e-01
180,0.2614380,1.8325774897e-02,8.7863591855e-03,4.1303413332e-04,3.3519658139e-07,3.4505257481e-01
180,0.2617810,1.5478985802e-02,7.7236381841e-03,2.9925358827e-04,1.9012684283e-07,2.9230936494e-01
180,0.2621760,1.2705112380e-02,6.1743838973e-03,1.9954289710e-04,8.5611706855e-08,2.8329678209e-01
180,0.2626250,1.0152909122e-02,4.9009714977e-03,1.2710108526e-04,3.5691777178e-08,2.6354129375e-01
180,0.2631310,8.2007648148e-03,3.9216153716e-03,8.2631610670e-05,1.5866973668e-08,2.2539479681e-01
180,0.2636990,6.5415382373e-03,2.9110462619e-03,5.1265912849e-05,5.2998697516e-09,3.2781850526e-01
180,0.2643320,5.1357752058e-03,2.2308058373e-03,3.1352681648e-05,2.0153326132e-09,3.1659824015e-01
180,0.2650340,4.0797541495e-03,1.6719858724e-03,1.9439930678e-05,7.3419179821e-10,3.5241191425e-01
180,0.2658070,3.2601463306e-03,1.2696189772e-03,1.2240486444e-05,2.7954414665e-10,3.7808390872e-01
180,0.2666550,2.6002182785e-03,9.7251789170e-04,7.7069261453e-06,1.0756688886e-10,3.9633644267e-01
180,0.2675830,2.1066359396e-03,7.2882398330e-04,4.9690993808e-06,4.1109972295e-11,4.4502864927e-01
180,0.2685930,1.6933194102e-03,5.5148369163e-04,3.1714648869e-06,1.6108528911e-11,4.6615545258e-01
180,0.2696880,1.3720061385e-03,4.2312413776e-04,2.0614348802e-06,6.3747885046e-12,4.9995937912e-01
