# d L W rho N_samples N_thermal mean_sweeps sweeps_std dis_mR dis_mAbsR dis_mR2 dis_mR3 dis_mAbsR3 dis_mR4 q_EA dis_mAbsR_sq dis_mR_p4 dis_mAbsR_p4 dis_mR2_sq chi_th_abs chi_dis_abs chi_tot_abs chi_tot_abs_sem_jk chi_th_R chi_dis_R chi_tot_R U4 U_EA U_EA_abs U22 acf_probe_warn_count acf_probe_warn_frac
2 300 300 0.1114754098 5000 128 95.4027966785 125.4500817481 -0.0011539747 0.7832403883 0.6741190849 -0.0001052268 0.5996995652 0.5427970107 0.6684753428 0.6726181486 0.5371175818 0.5398058485 0.5407213470 135.0842661961 5323.7378531835 5458.8221193795 139.7023982875 507.9367864691 60162.6610069771 60670.5977934463 0.6018534587 0.5993387620 0.6022784088 0.6033759769 0 0.0000000000
2 300 300 0.1127868852 5000 128 51.1478906521 38.3326206810 -0.0016382178 0.7399224082 0.6153976751 0.0005653341 0.5343864537 0.4746778661 0.6091850689 0.6134110827 0.4686155168 0.4710091346 0.4721188689 178.7933111847 5933.3321322229 6112.1254434075 128.6020309538 559.1345583084 54826.4146620068 55385.5492203152 0.5822023199 0.5790825704 0.5827418401 0.5844546749 0 0.0000000000
2 300 300 0.1140983607 5000 128 77.6180309948 44.6008129416 -0.0068004694 0.6951664983 0.5581129861 -0.0051506542 0.4724193886 0.4113223855 0.5531165306 0.5562572793 0.4064038811 0.4080171212 0.4090383270 167.0136127085 6570.0737076481 6737.0873203567 122.5630466877 449.6810028165 49776.3255759039 50226.0065787204 0.5598336528 0.5572043804 0.5604525975 0.5622778808 0 0.0000000000
2 300 300 0.1154098361 5000 128 60.2171170365 31.6786038050 -0.0011250303 0.6504244425 0.5024562166 0.0001697125 0.4138474588 0.3526267426 0.4970553562 0.5004245893 0.3476415659 0.3492439354 0.3502875379 182.8464508961 6963.5370583767 7146.3835092726 111.2200885167 486.0774350192 44734.8681424725 45220.9455774917 0.5344165406 0.5309696708 0.5351312678 0.5375050613 0 0.0000000000
2 300 300 0.1167213115 5000 128 49.1327784460 23.0421604819 0.0017581518 0.6046441704 0.4475268116 0.0018485690 0.3573840896 0.2971376737 0.4424436161 0.4452216966 0.2924375363 0.2934986100 0.2946470961 207.4603481075 7166.4411474921 7373.9014955997 101.3537062628 457.4875986323 39819.6472475778 40277.1348462101 0.5054635059 0.5020382375 0.5064488667 0.5096086603 0 0.0000000000
2 300 300 0.1180327869 5000 128 77.5661095488 33.5227254977 -0.0021438678 0.5625036841 0.3961381646 -0.0027479898 0.3046160022 0.2457063024 0.3925102803 0.3940674826 0.2421320685 0.2425581002 0.2435555971 186.3613821976 6989.1379152333 7175.4992974310 92.7581151399 326.5095895529 35325.5115691858 35652.0211587387 0.4780827254 0.4761234175 0.4793410614 0.4826511481 0 0.0000000000
2 300 300 0.1193442623 5000 128 129.5697505724 52.9467238673 -0.0039373960 0.5238792603 0.3528012616 -0.0013833771 0.2620843154 0.2053835616 0.3486126224 0.3505416697 0.2017687594 0.2023308808 0.2033142269 203.3632754752 6848.2971300253 7051.6604055003 86.8907126842 376.9775325577 31373.7407355954 31750.7182681531 0.4499727996 0.4465906995 0.4511399567 0.4555145791 0 0.0000000000
2 300 300 0.1206557377 5000 128 65.8906089179 25.2686626276 -0.0030720776 0.4836156412 0.3081237956 -0.0015288275 0.2195225666 0.1662261202 0.3042777577 0.3058281531 0.1628986222 0.1633184047 0.1642499241 206.6078239742 6474.9658174496 6681.5736414239 80.8166346382 346.1434068224 27384.1488042314 27730.2922110538 0.4163835352 0.4135165760 0.4179518003 0.4233219188 0 0.0000000000
2 300 300 0.1219672131 5000 128 46.0335114609 17.1136003268 -0.0020540428 0.4501574254 0.2724002326 -0.0001680438 0.1863867576 0.1365473737 0.2690723173 0.2702183945 0.1337542263 0.1340470699 0.1348454027 196.3654292693 6081.9018173319 6278.2672466011 78.2813907496 299.5123790382 24216.1288401203 24515.6412191585 0.3865952306 0.3841878958 0.3880636498 0.3942409074 0 0.0000000000
2 300 300 0.1232786885 5000 128 120.2575695700 42.0178688483 -0.0004831110 0.4127427659 0.2351371850 0.0011809087 0.1539878770 0.1090848830 0.2322009862 0.2331013434 0.1068594616 0.1069689807 0.1076567959 183.2257377146 5647.0277388631 5830.2534765776 77.1898616312 264.2578869122 20898.0677541215 21162.3256410337 0.3423411235 0.3393619145 0.3437836458 0.3509508789 0 0.0000000000
