L,rho,mean_density,second_moment_uncentered,forth_moment_uncentered
6200,0.24772922,1.3505924328e-01,2.1061010208e-02,6.9554139126e-04
6200,0.24778134,1.3001780921e-01,1.9643181981e-02,6.1737618234e-04
6200,0.24783925,1.2418751973e-01,1.8038967501e-02,5.3352165402e-04
6200,0.24790296,1.1813344947e-01,1.6355297937e-02,4.4534744548e-04
6200,0.24797246,1.1126019829e-01,1.4597499402e-02,3.6474741985e-04
6200,0.24804774,1.0415241809e-01,1.2871416632e-02,2.9103685560e-04
6200,0.24812883,9.7525881782e-02,1.1336292254e-02,2.3114441308e-04
6200,0.24821570,9.0728393608e-02,9.8673201505e-03,1.7947335374e-04
6200,0.24830836,8.3266789295e-02,8.3101432153e-03,1.3034894482e-04
6200,0.24840681,7.6609435624e-02,7.0483848981e-03,9.5105626616e-05
6200,0.24851106,7.0516403933e-02,5.9858351476e-03,7.0305855305e-05
6200,0.24862110,6.4470982760e-02,4.9956399472e-03,4.9670607503e-05
6200,0.24873693,5.8436437352e-02,4.1164661076e-03,3.4826005258e-05
6200,0.24885855,5.3029186647e-02,3.3650696949e-03,2.2605012105e-05
6200,0.24898596,4.7702169711e-02,2.7086404419e-03,1.4623327604e-05
6200,0.24911916,4.3195653015e-02,2.2206668474e-03,9.9953777548e-06
6200,0.24925816,3.8915553702e-02,1.7842957824e-03,6.2146590024e-06
6200,0.24940294,3.4937002570e-02,1.4276352483e-03,3.9287014360e-06
6200,0.24955352,3.1890403811e-02,1.1853930152e-03,2.6670632914e-06
6200,0.24970989,2.8716129350e-02,9.5259248878e-04,1.6468489313e-06
6200,0.24987205,2.5866396387e-02,7.6909182817e-04,1.0603930086e-06
6400,0.24500000,3.5987864397e-01,1.2960866579e-01,1.6845414792e-02
6400,0.24516795,3.5497028896e-01,1.2614253261e-01,1.5974572286e-02
6400,0.24533011,3.4941681617e-01,1.2228121042e-01,1.5034771749e-02
6400,0.24548648,3.4368179544e-01,1.1835666337e-01,1.4108009642e-02
6400,0.24563706,3.3801088534e-01,1.1454480910e-01,1.3237084399e-02
6400,0.24578184,3.3063341796e-01,1.0978274557e-01,1.2219496656e-02
6400,0.24592084,3.2333859458e-01,1.0517238321e-01,1.1273770262e-02
6400,0.24605404,3.1525585834e-01,1.0025332842e-01,1.0323781221e-02
6400,0.24618145,3.0689213412e-01,9.5255692278e-02,9.3947469370e-03
6400,0.24630307,2.9816194510e-01,9.0238726671e-02,8.5173136204e-03
6400,0.24641890,2.8881804881e-01,8.5049415293e-02,7.6585489470e-03
6400,0.24652894,2.7776768944e-01,7.9131253241e-02,6.7441130707e-03
6400,0.24663319,2.6815628882e-01,7.4206721124e-02,6.0291642058e-03
6400,0.24673164,2.5686133526e-01,6.8556691080e-02,5.2532184275e-03
6400,0.24682430,2.4725348008e-01,6.3938212785e-02,4.6519161695e-03
6400,0.24691117,2.3708650798e-01,5.9291856067e-02,4.0934533868e-03
6400,0.24699226,2.2588262692e-01,5.4324519972e-02,3.5299951558e-03
6400,0.24706754,2.1728706188e-01,5.0583520890e-02,3.1209963144e-03
6400,0.24713704,2.0805156902e-01,4.6771275361e-02,2.7330618942e-03
6400,0.24720075,2.0061545377e-01,4.3715827359e-02,2.4290254133e-03
6400,0.24725866,1.9251513425e-01,4.0619954079e-02,2.1534583339e-03
6400,0.24731078,1.8652536295e-01,3.8261333438e-02,1.9341673231e-03
6400,0.24735712,1.7898618897e-01,3.5597694276e-02,1.7246815898e-03
6400,0.24739766,1.7517006028e-01,3.4133148619e-02,1.5937232381e-03
6400,0.24743240,1.6998442437e-01,3.2372565797e-02,1.4642847084e-03
6400,0.24746136,1.6678685344e-01,3.1242612959e-02,1.3758263294e-03
6400,0.24748453,1.6460515644e-01,3.0469609794e-02,1.3162543295e-03
6400,0.24750190,1.6128016586e-01,2.9278587601e-02,1.2239628230e-03
6400,0.24751348,1.6130410693e-01,2.9369128786e-02,1.2351552118e-03
6400,0.24751928,1.6000198713e-01,2.8949285880e-02,1.2062142837e-03
6400,0.24752072,1.5919672487e-01,2.8657491776e-02,1.1880832261e-03
6400,0.24752652,1.5960494679e-01,2.8809784658e-02,1.1963931981e-03
6400,0.24753810,1.5804578152e-01,2.8219845448e-02,1.1465165161e-03
6400,0.24755547,1.5476397670e-01,2.7217175511e-02,1.0872810445e-03
6400,0.24757864,1.5212145451e-01,2.6310670103e-02,1.0206391551e-03
6400,0.24760760,1.4803566839e-01,2.4935972557e-02,9.2197502408e-04
6400,0.24764234,1.4446498097e-01,2.3898175775e-02,8.6366405789e-04
6400,0.24768288,1.3913602802e-01,2.2287725344e-02,7.6879312589e-04
6400,0.24772922,1.3461031516e-01,2.0973014045e-02,6.9127879990e-04
6400,0.24778134,1.3042172442e-01,1.9740299811e-02,6.1745913712e-04
6400,0.24783925,1.2282979368e-01,1.7634146829e-02,5.1033185459e-04
6400,0.24790296,1.1636109431e-01,1.5890887315e-02,4.2169472515e-04
6400,0.24797246,1.1014020415e-01,1.4332346276e-02,3.5149247141e-04
6400,0.24804774,1.0324107195e-01,1.2678739781e-02,2.8433735062e-04
6400,0.24812883,9.5876468108e-02,1.0943670289e-02,2.1606106512e-04
6400,0.24821570,8.7778233428e-02,9.1928519997e-03,1.5507941400e-04
6400,0.24830836,8.1805977378e-02,8.0275612196e-03,1.2072199527e-04
6400,0.24840681,7.4917649336e-02,6.7693036582e-03,8.8699768995e-05
6400,0.24851106,6.8822026770e-02,5.7088600713e-03,6.4098515221e-05
6400,0.24862110,6.2588196887e-02,4.7019861648e-03,4.3398974245e-05
