sample_id, N_LCC, N_A_1_LCC, N_B_1_LCC, N_A_0_LCC, N_B_0_LCC, N_A_*_LCC, N_B_*_LCC, size_A_determined, size_B_determined, seed
95, 5121534, 2482335, 12287, 9635, 2478801, 69238, 69238, 4961053,314,971041644
91, 5123926, 2482093, 12635, 10021, 2478457, 70360, 70360, 4960476,2185,2882282131
98, 5119328, 2479098, 13067, 10392, 2475627, 70572, 70572, 4954640,819,3096773663
93, 5128161, 12964, 2482851, 2480175, 10285, 70943, 70943, 326,4962939,4222231709
99, 5123541, 2482890, 12248, 9623, 2479356, 69712, 69712, 4962188,580,1348269229
94, 5124640, 2479764, 14135, 11289, 2476086, 71683, 71683, 4955766,589,1585911085
92, 5125450, 2484350, 12803, 10147, 2480608, 68771, 68771, 4964886,830,3458574126
105, 5122866, 13076, 2480294, 2476495, 10315, 71343, 71343, 426,4956737,1444413715
104, 5123735, 13329, 2480190, 2476972, 10596, 71324, 71324, 587,4957104,402404594
100, 5129074, 2486308, 12547, 9997, 2480806, 69708, 69708, 4967054,424,3488542673
102, 5128560, 2484491, 13046, 10314, 2481749, 69480, 69480, 4966158,489,1822527895
101, 5121326, 11421, 2482614, 2479474, 8809, 69504, 69504, 372,4962034,3007627677
96, 5118533, 2478207, 12975, 10281, 2475240, 70915, 70915, 4953393,884,254427548
110, 5120182, 2481209, 12440, 9745, 2477520, 69634, 69634, 4958674,533,3622560115
114, 5125935, 12219, 2483299, 2479249, 9584, 70792, 70792, 1026,4962472,3911082767
106, 5122054, 2480271, 13369, 10676, 2477430, 70154, 70154, 4957634,574,197485514
107, 5122917, 2479567, 13608, 10848, 2476630, 71132, 71132, 4956123,731,3485282582
111, 5121714, 2480590, 12797, 10158, 2476411, 70879, 70879, 4956921,419,1902932861
108, 5111428, 13206, 2474598, 2471122, 10372, 71065, 71065, 362,4945665,617503421
113, 5128682, 10825, 2487717, 2485049, 8279, 68406, 68406, 187,4972711,1002672503
115, 5128144, 2483939, 13635, 10930, 2480302, 69669, 69669, 4964157,613,4264524105
103, 5129623, 12120, 2486121, 2483382, 9480, 69260, 69260, 676,4969458,3067938778
112, 5122866, 2480578, 12920, 10228, 2476964, 71088, 71088, 4957471,911,1200628799
119, 5134962, 2492730, 11766, 9206, 2488120, 66570, 66570, 4980776,283,961844444
109, 5122056, 12443, 2480867, 2477834, 9804, 70554, 70554, 339,4958618,2912364506
122, 5118235, 13350, 2477767, 2473848, 10608, 71331, 71331, 390,4951523,765023025
120, 5127744, 2484008, 12285, 9708, 2480729, 70507, 70507, 4964685,691,1005638473
116, 5114319, 2477955, 12314, 9726, 2473018, 70653, 70653, 4950920,518,2531998164
124, 5127801, 12409, 2485108, 2482454, 9836, 68997, 68997, 403,4967513,1485773602
123, 5125389, 12762, 2483163, 2480060, 10096, 69654, 69654, 336,4963129,3223826528
129, 5124277, 13247, 2482439, 2477898, 10473, 70110, 70110, 576,4960265,2450805387
117, 5119084, 13002, 2477350, 2474301, 10261, 72085, 72085, 621,4951567,1802414941
128, 5117881, 13317, 2478382, 2474798, 10494, 70445, 70445, 432,4953100,3950993304
121, 5123265, 2482930, 12730, 10143, 2478088, 69687, 69687, 4960994,1121,4179254969
118, 5132874, 2487548, 12061, 9426, 2484451, 69694, 69694, 4971893,445,440129433
126, 5132666, 2487749, 12498, 9848, 2484713, 68929, 68929, 4972393,552,166246643
125, 5120083, 2478688, 13910, 11161, 2475194, 70565, 70565, 4953813,797,309781801
135, 5120777, 12479, 2481765, 2477160, 9797, 69788, 69788, 527,4958852,311485563
130, 5124481, 2479489, 13422, 10673, 2476373, 72262, 72262, 4955793,852,2804300165
127, 5127916, 2484175, 12541, 9912, 2481470, 69909, 69909, 4965603,429,819012476
132, 5123391, 13055, 2480211, 2477407, 10448, 71135, 71135, 919,4957575,2533354720
134, 5119124, 14765, 2475164, 2471986, 11913, 72648, 72648, 756,4947093,3745656707
133, 5121810, 2477274, 13734, 10979, 2473349, 73237, 73237, 4950555,625,184998012
141, 5129997, 13161, 2485854, 2482237, 10439, 69153, 69153, 381,4968013,4110336702
139, 5131883, 2487309, 13064, 10402, 2482906, 69101, 69101, 4970149,950,222840052
131, 5125983, 13169, 2483646, 2480375, 10423, 69185, 69185, 310,4963940,3519330656
142, 5123415, 13737, 2478701, 2475163, 11040, 72387, 72387, 539,4953800,1692897679
137, 5125434, 2484864, 12283, 9709, 2480960, 68809, 68809, 4965737,906,117938675
143, 5120628, 2482067, 11619, 9069, 2477571, 70151, 70151, 4959565,592,3779997009
149, 5130940, 13024, 2485709, 2482503, 10396, 69654, 69654, 842,4968126,4191437705
148, 5126482, 14472, 2479989, 2476971, 11774, 71638, 71638, 1180,4956836,813687040
140, 5125385, 12959, 2481822, 2478682, 10288, 70817, 70817, 525,4960462,2681896474
136, 5122166, 2479872, 13292, 10609, 2476359, 71017, 71017, 4956138,954,3455134839
150, 5125555, 2484961, 12208, 9535, 2480345, 69253, 69253, 4965239,404,3305716390
147, 5122159, 13638, 2480619, 2477748, 10994, 69580, 69580, 1395,4958294,2104729201
153, 5122591, 11925, 2483797, 2479887, 9332, 68825, 68825, 270,4963636,2600327855
138, 5127983, 12708, 2480930, 2478177, 10050, 73059, 73059, 636,4959052,2587359251
151, 5123373, 2483037, 12219, 9529, 2479596, 69496, 69496, 4962544,684,852400312
146, 5118675, 2476780, 14460, 11648, 2473647, 71070, 71070, 4950377,1393,1516623783
154, 5119198, 2479004, 12083, 9533, 2475042, 71768, 71768, 4953973,519,4103034088
158, 5118520, 14680, 2476763, 2473383, 11916, 70889, 70889, 1453,4950088,3414290303
145, 5125502, 2483964, 12179, 9546, 2480907, 69453, 69453, 4964811,339,3561996169
160, 5127567, 12420, 2486384, 2481652, 9793, 68659, 68659, 1056,4967975,1469227594
144, 5124996, 2482468, 13282, 10554, 2479328, 69682, 69682, 4961707,493,3246253946
159, 5133531, 2488125, 12450, 9787, 2485069, 69050, 69050, 4973130,805,560939041
162, 5124444, 13279, 2480839, 2477928, 10526, 70936, 70936, 292,4958704,1104316647
152, 5130494, 2485614, 13245, 10486, 2481787, 69681, 69681, 4967343,1125,1191105832
165, 5124889, 13686, 2481547, 2478344, 10986, 70163, 70163, 678,4959819,2678712557
166, 5125110, 11518, 2483850, 2480649, 8945, 70074, 70074, 298,4964427,3812650861
155, 5123607, 14218, 2479763, 2476627, 11395, 70802, 70802, 1042,4956313,4069901680
156, 5127426, 2486314, 11727, 9148, 2482643, 68797, 68797, 4968891,363,373857048
157, 5125398, 2483478, 12763, 10237, 2479370, 69775, 69775, 4962762,629,344475896
168, 5124472, 12034, 2484504, 2480578, 9366, 68995, 68995, 735,4965006,1405124922
161, 5128572, 12441, 2486554, 2482275, 9686, 68808, 68808, 355,4968773,4128188985
163, 5119526, 13609, 2477615, 2474225, 10879, 71599, 71599, 1343,4951746,1020698541
169, 5120233, 2480364, 12290, 9631, 2476236, 70856, 70856, 4956539,529,2299458353
176, 5124780, 12537, 2483765, 2479100, 9834, 69772, 69772, 561,4962784,1474271667
164, 5123073, 2479909, 13844, 11237, 2476025, 71029, 71029, 4955858,2930,2132386070
175, 5125107, 13199, 2482980, 2479898, 10452, 69289, 69289, 1028,4962813,3295424552
174, 5124525, 2482748, 12440, 9856, 2479525, 69978, 69978, 4962181,775,3896466376
167, 5123942, 12482, 2481972, 2478870, 9764, 70427, 70427, 521,4960792,2808565947
177, 5121915, 2478246, 13658, 11026, 2475121, 71932, 71932, 4953336,838,3915495579
180, 5119913, 13986, 2478305, 2475136, 11244, 70621, 70621, 897,4953386,2960738142
182, 5119340, 12779, 2479808, 2475722, 10123, 70454, 70454, 1004,4955465,1546380868
178, 5122512, 2483431, 12305, 9689, 2478567, 69260, 69260, 4961887,839,2137672579
171, 5132389, 2487973, 12882, 10240, 2483922, 68686, 68686, 4971818,711,59816142
183, 5128296, 12220, 2484099, 2480928, 9603, 70723, 70723, 554,4964977,2176327561
172, 5127427, 11777, 2482952, 2480172, 9310, 71608, 71608, 441,4963066,1781691410
184, 5117931, 2479306, 11743, 9143, 2474459, 71640, 71640, 4953712,521,1363314514
170, 5122614, 13438, 2480048, 2477348, 10714, 70533, 70533, 378,4957321,842845886
181, 5124612, 12990, 2482473, 2478213, 10356, 70290, 70290, 456,4960628,1585060277
173, 5120518, 2478544, 13238, 10489, 2475631, 71308, 71308, 4954118,1017,2682692466
191, 5124098, 11939, 2483496, 2479625, 9288, 69875, 69875, 469,4963056,2507556083
179, 5124330, 2481991, 12616, 9878, 2478935, 70455, 70455, 4960849,510,1898449992
187, 5123899, 13377, 2481990, 2478815, 10623, 69547, 69547, 715,4960745,2663788907
188, 5135719, 2490731, 11879, 9347, 2486800, 68481, 68481, 4977486,709,2273271039
186, 5118806, 11830, 2479476, 2476738, 9170, 70796, 70796, 653,4956161,1900528055
192, 5127338, 12947, 2484011, 2480626, 10240, 69757, 69757, 1679,4964566,1961906883
185, 5117502, 2476902, 13912, 11271, 2472471, 71473, 71473, 4949287,1211,904924000
197, 5123392, 12984, 2481206, 2477326, 10350, 70763, 70763, 444,4958476,1550145206
195, 5129389, 13016, 2485269, 2482315, 10287, 69251, 69251, 540,4967550,808209341
196, 5136105, 2486465, 14209, 11559, 2483102, 70385, 70385, 4969490,1021,2177147233
190, 5119547, 13738, 2479662, 2475858, 10909, 69690, 69690, 571,4955474,409666338
189, 5127544, 2485114, 12672, 10025, 2480371, 69681, 69681, 4965422,536,2822072280
200, 5120086, 12853, 2480774, 2476509, 10156, 69897, 69897, 924,4957201,3588606714
203, 5126835, 14011, 2482614, 2479241, 11335, 69817, 69817, 2427,4961777,3468129902
198, 5129351, 12809, 2484083, 2481149, 10108, 70601, 70601, 599,4965141,2931971348
194, 5122986, 12316, 2482148, 2479014, 9638, 69935, 69935, 596,4961061,2945243974
204, 5117387, 12935, 2478250, 2474789, 10179, 70617, 70617, 357,4952990,1352061661
193, 5125114, 2480749, 12668, 10043, 2477882, 71886, 71886, 4958565,444,1816295107
202, 5133358, 2487555, 13020, 10390, 2484571, 68911, 68911, 4972065,630,1183894992
210, 5125949, 12102, 2485247, 2480557, 9513, 69265, 69265, 661,4965722,589008775
206, 5128903, 2485444, 12819, 10225, 2481297, 69559, 69559, 4966707,745,3958995482
205, 5132810, 2488374, 12750, 10102, 2484438, 68573, 68573, 4972747,590,3726880686
199, 5127104, 14791, 2481194, 2477727, 12008, 70692, 70692, 2461,4958826,1925305990
208, 5133544, 2489517, 11474, 8920, 2485679, 68977, 68977, 4975137,816,243506843
211, 5127459, 2484686, 12860, 10255, 2480782, 69438, 69438, 4965406,405,1101256701
212, 5117281, 2478956, 12645, 9856, 2474252, 70786, 70786, 4953121,779,779630524
214, 5125161, 12288, 2483052, 2480049, 9606, 70083, 70083, 588,4963030,1071700914
207, 5121410, 12861, 2480362, 2475878, 10175, 71067, 71067, 494,4956200,468447573
209, 5119401, 2476834, 14287, 11562, 2473836, 71441, 71441, 4950611,1447,1926563620
215, 5120032, 14510, 2476454, 2472285, 11773, 72505, 72505, 1710,4948678,405425782
201, 5129566, 2483617, 13687, 10931, 2480869, 70231, 70231, 4964400,724,3856934402
216, 5128681, 2484779, 12852, 10224, 2481380, 69723, 69723, 4966093,1228,3233241056
213, 5123992, 2481413, 13179, 10527, 2478475, 70199, 70199, 4959830,733,1665247153
220, 5122538, 13008, 2480448, 2477316, 10292, 70737, 70737, 1077,4957742,2143908212
217, 5125387, 2483004, 12955, 10264, 2480106, 69529, 69529, 4963045,428,4209424259
222, 5117176, 13457, 2477970, 2474403, 10632, 70357, 70357, 840,4952303,3604305517
218, 5129961, 14522, 2483110, 2480230, 11817, 70141, 70141, 1027,4963243,1968524496
219, 5127257, 12085, 2486315, 2481787, 9468, 68801, 68801, 571,4968039,3938985895
230, 5123811, 11822, 2485204, 2480999, 9166, 68310, 68310, 348,4966143,240529269
221, 5117124, 14805, 2474323, 2471269, 11937, 72395, 72395, 1536,4945506,1780203523
231, 5124354, 14276, 2479964, 2475011, 11469, 71817, 71817, 665,4954883,2473424647
224, 5126862, 2484998, 11475, 8856, 2482043, 69745, 69745, 4966970,411,4205292502
229, 5124981, 13739, 2479993, 2477106, 11019, 71562, 71562, 559,4957042,1812269427
228, 5116494, 2477482, 13087, 10350, 2473101, 71237, 71237, 4950516,533,820046110
223, 5122253, 2480836, 12333, 9696, 2477746, 70821, 70821, 4958521,378,278854506
225, 5129421, 2484044, 13669, 10897, 2480843, 69984, 69984, 4964845,867,2413081140
227, 5125460, 2482164, 12872, 10224, 2478222, 70989, 70989, 4960318,544,1184283251
226, 5125289, 2481249, 13304, 10508, 2478424, 70902, 70902, 4959613,334,4075662739
232, 5124525, 2483992, 11962, 9286, 2480085, 69600, 69600, 4964006,501,4042427696
234, 5121744, 2480461, 13320, 10607, 2476908, 70224, 70224, 4957291,670,4291631300
236, 5119755, 2478761, 13794, 11082, 2474214, 70952, 70952, 4952939,1445,1000247915
239, 5128270, 11986, 2484903, 2481365, 9436, 70290, 70290, 610,4966200,917434829
235, 5124404, 12408, 2484749, 2479983, 9652, 68806, 68806, 487,4964681,58334158
241, 5121385, 12529, 2481805, 2477552, 9995, 69752, 69752, 895,4959293,1951873361
237, 5119872, 2478314, 13804, 11063, 2475271, 70710, 70710, 4953502,1747,3129124377
242, 5125885, 12918, 2483400, 2480026, 10307, 69617, 69617, 720,4963347,487691851
233, 5122091, 2482850, 12096, 9386, 2479171, 69294, 69294, 4961954,490,3439428664
246, 5131715, 12306, 2488245, 2485119, 9783, 68131, 68131, 468,4973308,634867871
244, 5129533, 2488091, 11764, 9163, 2483705, 68405, 68405, 4971742,360,1434570494
243, 5124485, 2481773, 13597, 10863, 2478534, 69859, 69859, 4960236,1756,1341973518
245, 5118966, 14381, 2476186, 2473283, 11508, 71804, 71804, 977,4949387,1473868210
238, 5116496, 13836, 2475994, 2472722, 11004, 71470, 71470, 360,4948665,2890267721
248, 5125461, 2484712, 12011, 9377, 2481205, 69078, 69078, 4965852,469,43344149
250, 5128385, 14365, 2482318, 2478189, 11609, 70952, 70952, 1708,4960422,1044952384
251, 5121483, 12733, 2481044, 2477771, 10103, 69916, 69916, 684,4958729,1813383695
240, 5111316, 13875, 2473277, 2470430, 11086, 71324, 71324, 1411,4943629,2798413994
256, 5126461, 2482983, 13286, 10510, 2479832, 69925, 69925, 4962750,626,3733054978
253, 5119494, 2480775, 13392, 10649, 2476464, 69107, 69107, 4957186,664,3972180025
254, 5128762, 2487115, 12310, 9684, 2483763, 67945, 67945, 4970842,431,1504409831
258, 5119049, 12161, 2481129, 2477096, 9375, 69644, 69644, 456,4958153,716212959
260, 5130348, 12534, 2487102, 2483437, 9847, 68714, 68714, 292,4970479,3194216284
252, 5131278, 11356, 2490295, 2485150, 8907, 67785, 67785, 284,4975351,153530791
247, 5124120, 2481889, 12337, 9740, 2479004, 70575, 70575, 4960818,396,4072342747
262, 5130628, 12846, 2484070, 2480505, 10159, 71524, 71524, 622,4964511,4150129484
249, 5115979, 2478551, 12360, 9786, 2474870, 70206, 70206, 4953347,296,2208285933
261, 5132128, 2486956, 13848, 11220, 2482512, 68796, 68796, 4969411,1046,3463203521
257, 5122677, 12890, 2480451, 2477654, 10088, 70797, 70797, 709,4958052,3913295
255, 5130613, 2487388, 12584, 10005, 2483406, 68615, 68615, 4970745,681,2322395021
265, 5113432, 13289, 2476331, 2471866, 10474, 70736, 70736, 398,4948138,640057353
263, 5133156, 2488390, 12301, 9648, 2484749, 69034, 69034, 4973077,468,165363646
259, 5124654, 2482072, 12405, 9731, 2479252, 70597, 70597, 4961251,536,4021351916
266, 5126246, 14038, 2482683, 2479438, 11353, 69367, 69367, 961,4962056,3268699987
267, 5120619, 2479151, 13631, 11010, 2474641, 71093, 71093, 4953713,978,2314786443
273, 5115032, 2475354, 13865, 11002, 2471027, 71892, 71892, 4946307,957,1977895274
275, 5120743, 12679, 2480440, 2477180, 9940, 70252, 70252, 453,4957537,2630889450
269, 5116941, 2475633, 13543, 10858, 2472743, 72082, 72082, 4948311,683,3469196068
274, 5123248, 13448, 2480583, 2477453, 10784, 70490, 70490, 513,4957930,1615020586
270, 5121885, 2477985, 14873, 12076, 2474979, 70986, 70986, 4952897,1303,1033836773
278, 5124714, 14142, 2480586, 2477289, 11353, 70672, 70672, 1182,4957811,1075718528
268, 5125929, 2485191, 11884, 9285, 2481597, 68986, 68986, 4966717,962,1406727117
264, 5122959, 14471, 2477236, 2474179, 11671, 72701, 72701, 730,4951347,3400543682
277, 5122707, 13631, 2478609, 2475814, 10851, 71901, 71901, 566,4954391,1117298312
276, 5126619, 2481083, 14186, 11362, 2478208, 70890, 70890, 4959242,821,3672703927
279, 5132826, 2487142, 12729, 10140, 2483391, 69712, 69712, 4970469,859,145534397
271, 5121615, 2478846, 13670, 10910, 2475331, 71429, 71429, 4954138,625,1063440169
283, 5119586, 12439, 2480211, 2476670, 9760, 70253, 70253, 456,4956822,2922349959
272, 5118134, 2479922, 12871, 10228, 2476521, 69296, 69296, 4956375,901,1137068607
287, 5121839, 12057, 2482831, 2477809, 9460, 69841, 69841, 1040,4960600,2172727586
280, 5129913, 13218, 2484721, 2479547, 10493, 70967, 70967, 1228,4964193,1921564238
282, 5129441, 2484403, 13269, 10547, 2481174, 70024, 70024, 4965529,495,3851042524
281, 5125635, 2482502, 12872, 10289, 2479450, 70261, 70261, 4961914,729,2431903676
286, 5121046, 2477975, 13475, 10695, 2474379, 72261, 72261, 4952278,646,3758851176
291, 5118189, 12147, 2479399, 2475347, 9458, 70919, 70919, 387,4954706,2121895442
285, 5121072, 2480825, 13786, 10959, 2476546, 69478, 69478, 4957305,752,2071366457
290, 5129809, 13807, 2483213, 2480289, 10998, 70751, 70751, 698,4963449,3133234611
296, 5127117, 12389, 2485565, 2481027, 9810, 69163, 69163, 920,4966522,3520615482
299, 5128859, 13120, 2485184, 2481207, 10370, 69489, 69489, 565,4966333,1737168604
294, 5122824, 2481853, 13173, 10431, 2478147, 69610, 69610, 4959948,624,849463273
297, 5123656, 12903, 2480906, 2477731, 10314, 70901, 70901, 1305,4958574,635334646
293, 5123856, 2479540, 13973, 11318, 2476799, 71113, 71113, 4956294,1430,3180778849
298, 5123796, 2482174, 12485, 9810, 2478361, 70483, 70483, 4960464,316,124222785
