L,rho,mean_density,second_moment_uncentered,forth_moment_uncentered
4000,0.22721967,5.1027210244e-01,2.6037823046e-01,6.7797460073e-02
4000,0.22991991,4.9776900738e-01,2.4777476391e-01,6.1393105737e-02
4000,0.23236915,4.8526541125e-01,2.3548365959e-01,5.5453627715e-02
4000,0.23457963,4.7279331406e-01,2.2353527403e-01,4.9969587400e-02
4000,0.23656362,4.6005202637e-01,2.1165048190e-01,4.4798137977e-02
4000,0.23833333,4.4692519144e-01,1.9974646905e-01,3.9902114319e-02
4000,0.23990103,4.3328212650e-01,1.8774053859e-01,3.5251850954e-02
4000,0.24127895,4.1908337338e-01,1.7564534224e-01,3.0861363514e-02
4000,0.24247934,4.0386557663e-01,1.6313653284e-01,2.6632323225e-02
4000,0.24351444,3.8729117037e-01,1.5006151027e-01,2.2556169199e-02
4000,0.24439649,3.6759029750e-01,1.3535490377e-01,1.8424874781e-02
4000,0.24513774,3.4559601019e-01,1.1993068666e-01,1.4580942913e-02
4000,0.24575043,3.1951613675e-01,1.0298721824e-01,1.0916366904e-02
4000,0.24624681,2.8128029338e-01,8.1566839889e-02,7.2718662840e-03
4000,0.24663912,2.5162989556e-01,6.6589351296e-02,5.1258070464e-03
4000,0.24693960,2.2410733650e-01,5.3741743286e-02,3.5186562322e-03
4000,0.24716049,2.0023864156e-01,4.3825691190e-02,2.5052043815e-03
4000,0.24731405,1.8784682131e-01,3.8979731594e-02,2.0410002344e-03
4000,0.24741251,1.7740230312e-01,3.5344797254e-02,1.7492759506e-03
4000,0.24746812,1.7289628250e-01,3.3640113885e-02,1.6105748854e-03
4000,0.24749311,1.6970906094e-01,3.2147438193e-02,1.4490072302e-03
4000,0.24749974,1.7337698244e-01,3.3726160405e-02,1.5815008310e-03
4000,0.24750026,1.6856566250e-01,3.2104785016e-02,1.4758311095e-03
4000,0.24750689,1.6586708363e-01,3.1015442007e-02,1.3850663621e-03
4000,0.24753188,1.6712783506e-01,3.1496384479e-02,1.4241992919e-03
4000,0.24758749,1.6012329144e-01,2.8877228886e-02,1.1888589497e-03
4000,0.24768595,1.5263222894e-01,2.6594003739e-02,1.0663781405e-03
4000,0.24783951,1.3770595350e-01,2.2043282645e-02,7.8206587445e-04
4000,0.24806040,1.2619320887e-01,1.8793320292e-02,5.8991398869e-04
4000,0.24836088,1.0060974700e-01,1.2159978228e-02,2.8032926728e-04
4000,0.24875319,8.0122750688e-02,7.6465993621e-03,1.0700344974e-04
4000,0.24924957,5.9486652625e-02,4.2590446668e-03,3.7541238863e-05
4000,0.24986226,4.3160200688e-02,2.1821839638e-03,8.7912446111e-06
4000,0.25060351,2.9628097000e-02,1.0181241078e-03,1.8773221833e-06
4000,0.25148556,2.0341292625e-02,4.6971345524e-04,3.8969881044e-07
4000,0.25252066,1.3781171125e-02,2.1087094621e-04,7.0961478854e-08
4000,0.25372105,9.5179594375e-03,1.0017885828e-04,1.6201148479e-08
4000,0.25509897,6.4803873125e-03,4.5319943814e-05,2.8816388757e-09
4000,0.25666667,4.5398530625e-03,2.1843148249e-05,6.1113038608e-10
4000,0.25843638,3.2487596875e-03,1.1166692127e-05,1.6086627438e-10
4000,0.26042037,2.3077493125e-03,5.6114800086e-06,3.9889688975e-11
4000,0.26263085,1.6823843125e-03,2.9513057379e-06,1.0528135635e-11
4000,0.26508009,1.2457674375e-03,1.6126501388e-06,3.0641251223e-12
4000,0.26778033,9.1983343750e-04,8.7949821750e-07,9.2031216172e-13
4000,0.27074380,6.9374762500e-04,4.9643889024e-07,2.8188046056e-13
4000,0.27398276,5.2694631250e-04,2.8580756951e-07,9.2730977195e-14
4000,0.27750944,4.0650456250e-04,1.7028022258e-07,3.3130467850e-14
4000,0.28133609,3.1501856250e-04,1.0196747937e-07,1.1682910959e-14
4000,0.28547495,2.4621937500e-04,6.2193375930e-08,4.3487109944e-15
