sample_id, N_LCC, N_A_1_LCC, N_B_1_LCC, N_A_0_LCC, N_B_0_LCC, N_A_*_LCC, N_B_*_LCC
137, 1782219, 360107, 363523, 350985, 347464, 180070, 180070
138, 1776404, 365753, 364190, 351220, 352619, 171311, 171311
139, 1779106, 369219, 356030, 343623, 356400, 176917, 176917
140, 1776377, 354528, 371473, 358760, 341780, 174918, 174918
141, 1780244, 364431, 361608, 349352, 351829, 176512, 176512
142, 1778991, 354428, 374010, 361102, 341693, 173879, 173879
143, 1777173, 362600, 365130, 352473, 349954, 173508, 173508
144, 1782575, 361274, 371183, 358338, 348552, 171614, 171614
145, 1777216, 353869, 369325, 356538, 341342, 178071, 178071
146, 1780355, 359735, 366758, 353858, 347266, 176369, 176369
147, 1778927, 368664, 354920, 342486, 355603, 178627, 178627
148, 1778541, 366950, 362209, 349260, 354140, 172991, 172991
149, 1778235, 358957, 367668, 354721, 346153, 175368, 175368
150, 1779018, 364954, 364678, 351887, 352125, 172687, 172687
151, 1776338, 361005, 366049, 353540, 348140, 173802, 173802
152, 1774102, 354690, 374408, 361319, 342135, 170775, 170775
153, 1779721, 362708, 362437, 349559, 350293, 177362, 177362
154, 1776507, 353350, 375705, 362810, 340494, 172074, 172074
155, 1773309, 371251, 346622, 334013, 358505, 181459, 181459
156, 1781344, 358975, 376068, 362893, 346748, 168330, 168330
157, 1779439, 356883, 369581, 356753, 344290, 175966, 175966
158, 1782201, 374905, 359314, 346788, 362076, 169559, 169559
159, 1781926, 354939, 374243, 361459, 342367, 174459, 174459
160, 1777613, 354042, 369722, 357216, 341405, 177614, 177614
161, 1780781, 354232, 375419, 362958, 341734, 173219, 173219
162, 1778825, 376082, 353029, 340403, 362871, 173220, 173220
163, 1777929, 371775, 350670, 338145, 359003, 179168, 179168
164, 1775616, 361604, 361987, 348933, 348726, 177183, 177183
165, 1778732, 369328, 354500, 342095, 356345, 178232, 178232
166, 1776886, 366329, 359222, 346510, 353395, 175715, 175715
167, 1776156, 370599, 358290, 345250, 357645, 172186, 172186
168, 1780522, 371803, 357407, 344738, 358822, 173876, 173876
169, 1781144, 366425, 357086, 344254, 353669, 179855, 179855
170, 1780536, 369825, 354583, 342051, 357121, 178478, 178478
171, 1782536, 357218, 367673, 355194, 344539, 178956, 178956
172, 1777545, 357764, 368501, 355508, 344772, 175500, 175500
173, 1780376, 359744, 361886, 349392, 347382, 180986, 180986
174, 1781663, 389220, 343086, 331150, 376173, 171017, 171017
175, 1778762, 372625, 349168, 336591, 359668, 180355, 180355
176, 1784007, 358846, 372390, 359627, 346518, 173313, 173313
177, 1781635, 361217, 368846, 355640, 348572, 173680, 173680
178, 1774843, 355629, 371989, 358971, 342836, 172709, 172709
179, 1782924, 374964, 346948, 334812, 362384, 181908, 181908
180, 1783148, 362896, 367924, 355184, 350308, 173418, 173418
181, 1779892, 344321, 387073, 373861, 331813, 171412, 171412
182, 1773780, 354525, 365892, 352880, 341837, 179323, 179323
183, 1778571, 349293, 377002, 363878, 337056, 175671, 175671
184, 1776300, 361731, 365535, 352379, 348469, 174093, 174093
185, 1779049, 360059, 369082, 356121, 347249, 173269, 173269
186, 1776994, 369639, 357032, 344432, 356415, 174738, 174738
187, 1780906, 362831, 364854, 352017, 350010, 175597, 175597
188, 1777897, 358198, 360407, 347573, 345383, 183168, 183168
189, 1781666, 368505, 365184, 352221, 355686, 170035, 170035
190, 1775210, 357842, 367965, 355060, 345101, 174621, 174621
191, 1776844, 376644, 350756, 338149, 363731, 173782, 173782
192, 1778323, 362436, 362148, 349585, 349512, 177321, 177321
193, 1777379, 370711, 357063, 344335, 357892, 173689, 173689
194, 1777849, 364676, 367416, 354559, 351732, 169733, 169733
195, 1777712, 368435, 362420, 349917, 355278, 170831, 170831
196, 1776485, 361112, 360995, 348159, 348387, 178916, 178916
197, 1777251, 335668, 386163, 372888, 323310, 179611, 179611
198, 1778037, 376502, 354614, 342450, 363441, 170515, 170515
199, 1779087, 363262, 366267, 353487, 350297, 172887, 172887
200, 1778114, 359655, 363749, 351144, 346970, 178298, 178298
201, 1779881, 354870, 370201, 357242, 342168, 177700, 177700
202, 1778636, 363658, 365915, 353124, 350769, 172585, 172585
203, 1777460, 377809, 352188, 339520, 364457, 171743, 171743
204, 1772915, 366202, 362561, 349528, 353020, 170802, 170802
205, 1779023, 354663, 368349, 355583, 342092, 179168, 179168
206, 1779261, 355800, 370828, 357931, 343550, 175576, 175576
207, 1777404, 358820, 371567, 358595, 346008, 171207, 171207
208, 1776269, 375060, 359848, 347183, 361602, 166288, 166288
209, 1775395, 348839, 375646, 362519, 336269, 176061, 176061
