L,rho,E_1st,E_2nd,E_4th,abs_R_1st,R_1st,R_2nd,R_4th,bond_energy_1st,bond_energy_2nd,bond_energy_4th,bond_defect_1st,bond_defect_2nd,bond_defect_4th
2800,0.12,0.50162598,0.25162862,0.06331696,0.09788327,-0.09285843,0.01306265,0.00035628,-1.81073370,3.27875881,10.75028935,0.01750538,0.00030694,0.00000009
2800,0.121,0.50171164,0.25171457,0.06336023,0.09920508,-0.09553532,0.01305343,0.00033901,-1.80732395,3.26642205,10.66954146,0.01807537,0.00032719,0.00000011
2800,0.122,0.50180029,0.25180354,0.06340502,0.10099490,-0.09862972,0.01318476,0.00032782,-1.80390869,3.25408863,10.58911948,0.01864245,0.00034798,0.00000012
2800,0.123,0.50189192,0.25189550,0.06345134,0.10277343,-0.10122972,0.01331966,0.00032088,-1.80047456,3.24171060,10.50871299,0.01921305,0.00036956,0.00000014
2800,0.124,0.50198676,0.25199070,0.06349932,0.10490790,-0.10395873,0.01355840,0.00031769,-1.79703458,3.22933518,10.42863014,0.01978068,0.00039168,0.00000015
2800,0.125,0.50208465,0.25208900,0.06354886,0.10729282,-0.10669007,0.01385111,0.00031583,-1.79358919,3.21696399,10.34888044,0.02034473,0.00041428,0.00000017
2800,0.126,0.50218593,0.25219071,0.06360016,0.10959513,-0.10921890,0.01415183,0.00031552,-1.79013155,3.20457270,10.26930839,0.02090862,0.00043753,0.00000019
2800,0.127,0.50229017,0.25229541,0.06365298,0.11223156,-0.11209537,0.01454456,0.00031901,-1.78667413,3.19220608,10.19020073,0.02146723,0.00046118,0.00000021
2800,0.128,0.50239756,0.25240331,0.06370743,0.11487969,-0.11482662,0.01496636,0.00032382,-1.78320857,3.17983440,10.11136714,0.02202367,0.00048537,0.00000024
2800,0.129,0.50250827,0.25251456,0.06376360,0.11767286,-0.11764792,0.01544027,0.00033136,-1.77974075,3.16747865,10.03294027,0.02257553,0.00050996,0.00000026
2800,0.13,0.50262212,0.25262900,0.06382141,0.12005445,-0.12003690,0.01585968,0.00033949,-1.77625559,3.15508537,9.95458212,0.02313026,0.00053530,0.00000029
3200,0.08,0.50017497,0.25017500,0.06258753,0.99436559,-0.01319963,0.98878645,0.97779167,-1.92103573,3.69039700,13.61930617,0.00226739,0.00000979,0.00000000
3200,0.081,0.50018420,0.25018424,0.06259215,0.99403287,-0.01964113,0.98812784,0.97650131,-1.91912050,3.68304405,13.56511641,0.00236960,0.00001073,0.00000000
3200,0.082,0.50019396,0.25019400,0.06259704,0.99363930,-0.02414396,0.98735600,0.97501136,-1.91717318,3.67557558,13.51018775,0.00248002,0.00001177,0.00000000
3200,0.083,0.50020410,0.25020414,0.06260211,0.99303573,-0.01656051,0.98625246,0.97298823,-1.91514158,3.66779203,13.45306146,0.00262454,0.00001305,0.00000000
3200,0.084,0.50021471,0.25021475,0.06260742,0.99214928,-0.02222395,0.98476583,0.97051250,-1.91314823,3.66016325,13.39719145,0.00274224,0.00001426,0.00000000
3200,0.085,0.50022581,0.25022586,0.06261298,0.99085643,-0.02751080,0.98257463,0.96691149,-1.91112717,3.65243667,13.34072586,0.00286612,0.00001558,0.00000000
